time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002672,0.0324,-0.0122,-0.1684,0.172
0.015443,0.0313,-0.0210,-0.0898,0.097
0.031210,0.0925,-0.0003,0.0224,0.095
0.044456,0.0965,-0.0192,0.0289,0.103
0.065131,0.0198,0.0086,-0.0939,0.096
0.074202,0.1247,-0.0837,0.2436,0.286
0.089691,-0.0803,-0.0612,0.0770,0.127
0.103078,-0.0670,0.2046,-0.1378,0.256
0.118664,0.3090,-0.2487,0.2607,0.475
0.132138,0.0872,-0.1181,-0.0352,0.151
0.146565,0.2445,-0.0605,-0.0951,0.269
0.161528,-0.0011,-0.0930,0.0876,0.128
0.175341,0.0593,-0.0263,0.0558,0.086
0.190824,0.0297,-0.0352,0.1356,0.143
0.204634,0.0582,0.0121,0.0779,0.098
0.220087,0.0203,0.0170,0.0815,0.086
0.233580,0.0154,-0.0493,0.0714,0.088
0.249100,0.0865,-0.1067,0.0376,0.142
0.262593,0.1366,-0.1158,0.1048,0.207
0.278437,0.1625,-0.0447,0.0710,0.183
0.292011,0.1542,0.0407,0.0323,0.163
0.307420,0.1366,0.0796,0.0887,0.181
0.321396,0.1227,0.0699,0.1406,0.199
0.336887,0.1923,0.0039,0.2073,0.283
0.350394,0.2597,-0.0579,0.2494,0.365
0.364699,0.2832,-0.1289,0.2982,0.431
0.379293,0.3097,-0.1212,0.1516,0.365
0.394571,0.3590,-0.0932,0.1641,0.406
0.408809,0.3067,-0.0271,0.1958,0.365
0.423187,0.3782,0.0622,0.1288,0.404
0.437896,0.6505,0.1617,0.1157,0.680
0.452622,0.8761,0.2114,0.3912,0.982
0.466467,0.6458,0.3493,0.4425,0.857
0.481370,0.3281,0.0704,0.3177,0.462
0.495844,0.2205,-0.0983,0.2121,0.321
0.510008,0.2583,-0.1400,0.4351,0.525
0.524786,0.0471,-0.2666,0.1802,0.325
0.539134,0.1041,-0.2771,0.0823,0.307
0.554376,0.1864,-0.1738,-0.1748,0.309
0.569610,0.1962,-0.1792,-0.2086,0.338
0.582650,0.3578,-0.2532,-0.0271,0.439
0.597029,0.4518,-0.2668,0.0052,0.525
0.611934,0.3746,-0.2043,0.1170,0.442
0.625813,0.2568,-0.0666,0.0482,0.270
0.641105,0.0632,0.0520,-0.0062,0.082
0.655307,0.0028,0.1701,-0.0951,0.195
0.670353,0.1075,0.2615,-0.1136,0.305
0.684712,0.2190,0.2593,0.0413,0.342
0.698612,0.2343,0.2519,0.1892,0.393
0.713637,0.1368,0.2332,0.1224,0.297
0.729454,0.0127,0.1288,0.0945,0.160
0.748835,-0.0061,-0.0994,0.0395,0.107
0.757529,0.1328,-0.2851,-0.1074,0.332
0.772213,0.3619,-0.4700,-0.1882,0.622
0.786990,0.5329,-0.4955,-0.0367,0.729
0.801710,0.4653,-0.3645,0.0863,0.597
0.816026,0.2614,-0.0515,-0.1377,0.300
0.829509,-0.0134,0.1746,-0.4504,0.483
0.848848,-0.2108,0.1694,-0.5669,0.628
0.858961,-0.1341,-0.0522,-0.3617,0.389
0.873743,-0.0131,-0.1931,-0.2712,0.333
0.889257,-0.0522,-0.2832,-0.3334,0.441
0.902996,-0.0768,-0.3590,-0.3518,0.508
0.916978,-0.0868,-0.4863,-0.2924,0.574
0.931149,-0.2324,-0.5803,-0.0802,0.630
0.945876,-0.5221,-0.7360,0.1630,0.917
0.960497,-1.0715,-0.6547,0.3875,1.314
0.975400,-1.4754,-0.4757,0.7312,1.714
0.990026,-1.7874,-0.1437,1.0125,2.059
1.004647,-1.6448,0.4298,0.9465,1.946
1.018569,-1.0909,0.8869,0.5339,1.504
1.032782,-0.1199,0.8587,0.2349,0.898
1.048295,0.6333,0.4560,0.2828,0.830
1.061716,0.7213,0.1252,0.4943,0.883
1.076362,0.4807,-0.0569,0.8894,1.013
1.091263,0.3236,-0.2063,1.0948,1.160
1.105922,0.1216,-0.2464,1.2445,1.274
1.120587,-0.0059,-0.1201,1.3035,1.309
1.135111,-0.0013,-0.0749,1.2565,1.259
1.149836,-0.0027,-0.2504,1.2002,1.226
1.164625,-0.2107,-0.4879,1.1775,1.292
1.179590,-0.6261,-0.8004,0.9745,1.408
1.198448,-0.9285,-1.1754,0.7393,1.670
1.208648,-1.0782,-1.4354,0.5507,1.878
1.222457,-0.9404,-1.6393,0.3029,1.914
1.236766,-0.7173,-1.8319,0.1800,1.976
1.251210,-0.4562,-2.0649,0.3505,2.144
1.266246,-0.3134,-2.3918,0.7841,2.536
1.280744,-0.1968,-2.8408,0.9826,3.012
1.296498,-0.0176,-3.1842,0.9325,3.318
1.308794,0.2513,-3.2331,0.8266,3.347
1.324238,0.3471,-3.0012,0.6749,3.096
1.338670,0.2931,-2.5693,0.4976,2.633
1.353686,0.1403,-2.0204,0.5456,2.097
1.368179,-0.1802,-1.3322,0.6653,1.500
1.382612,-0.2045,-1.3257,0.6128,1.475
1.395850,-0.0373,-1.2096,1.7172,2.101
1.410452,0.0570,-0.6205,1.2652,1.410
1.425974,-0.0986,0.2989,1.4625,1.496
1.440064,-0.6204,1.3593,0.7743,1.683
1.455291,-1.1293,1.2222,1.4133,2.183
1.469731,-0.6623,0.3398,1.8410,1.986
1.483274,-1.0210,-0.5946,2.1073,2.416
1.497937,-0.9127,-0.7239,2.2106,2.499
1.512654,-0.9656,-0.5414,1.9534,2.245
1.528002,-1.3311,-0.4537,1.8510,2.325
1.541907,-1.1417,-0.7125,1.3958,1.939
1.556329,-0.3665,-1.3203,0.4497,1.442
1.571935,0.5350,-1.6912,-0.8770,1.979
1.585827,1.2018,-0.2213,-3.0997,3.332
1.600097,4.1190,2.7684,-1.9906,5.347
1.614556,4.8203,7.9003,-4.0610,10.107
1.628816,1.9968,10.9081,-3.6146,11.664
1.646866,0.7036,7.8936,0.4716,7.939
1.658829,-0.4414,3.5953,2.6933,4.514
1.672878,-1.4360,1.1669,3.2183,3.712
1.687855,-1.3898,0.8962,2.8355,3.282
1.702104,-0.4352,1.1617,1.5044,1.950
1.716824,0.3932,1.3966,0.1454,1.458
1.730257,0.8004,1.2219,-1.1036,1.831
1.748210,1.0699,0.2764,-0.8597,1.400
1.759596,0.5879,-1.2618,0.0161,1.392
1.774715,0.3965,-3.0165,0.4145,3.071
1.789105,0.3263,-4.4250,0.5895,4.476
1.803892,0.5460,-5.3221,0.2327,5.355
1.818292,0.7544,-5.6589,-0.4304,5.725
