time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005876,0.0450,-0.0540,-0.3672,0.374
0.020606,0.0142,-0.0629,-0.2043,0.214
0.035178,0.0135,-0.0650,-0.0602,0.090
0.048826,-0.0014,-0.0593,-0.0220,0.063
0.063317,-0.0302,-0.0834,-0.0507,0.102
0.077837,-0.0063,-0.0789,-0.0315,0.085
0.092791,0.0131,-0.0642,-0.0028,0.066
0.107949,0.0086,-0.0739,0.0116,0.075
0.122075,0.0230,-0.0878,-0.0124,0.092
0.136746,0.0185,-0.0774,-0.0124,0.081
0.151185,0.0095,-0.0766,0.0114,0.078
0.165550,0.0199,-0.1000,-0.0078,0.102
0.179909,0.0212,-0.1190,-0.0072,0.121
0.195262,-0.0197,-0.0811,-0.0126,0.084
0.209226,-0.0265,-0.0724,-0.0029,0.077
0.224868,-0.0093,-0.0783,-0.0028,0.079
0.238530,0.0073,-0.0889,0.0218,0.092
0.253319,0.0144,-0.0804,0.0117,0.083
0.267631,0.0303,-0.0999,0.0364,0.111
0.281355,0.0454,-0.0916,0.0748,0.127
0.296725,0.0404,-0.0982,0.0318,0.111
0.311239,0.0489,-0.0863,-0.0159,0.100
0.325398,0.0421,-0.0594,0.0028,0.073
0.339906,-0.0088,-0.0668,0.0653,0.094
0.354578,-0.0774,-0.0466,0.1800,0.201
0.369442,0.0693,-0.0634,0.0423,0.103
0.383020,-0.0549,-0.0278,0.0472,0.078
0.398829,-0.5260,0.0760,-0.7703,0.936
0.412497,0.0597,-0.0896,-0.2250,0.249
0.426756,0.1647,-0.0942,0.0728,0.203
0.441644,0.0591,-0.0979,0.0289,0.118
0.456343,-0.0424,-0.1162,0.0241,0.126
0.471007,-0.0001,-0.0976,-0.1585,0.186
0.485627,0.0129,-0.0902,-0.1109,0.144
0.499151,0.0347,-0.0565,0.0324,0.074
0.514139,0.0281,-0.0289,0.0656,0.077
0.528800,0.0404,-0.0347,0.0893,0.104
0.542992,0.0394,-0.0723,0.0132,0.083
0.557857,0.0289,-0.0777,-0.0539,0.099
0.572357,0.0044,-0.0873,-0.0443,0.098
0.587038,0.0044,-0.0967,-0.0395,0.105
0.601824,-0.0243,-0.1060,-0.0443,0.117
0.615723,-0.0055,-0.1004,-0.0156,0.102
0.629855,0.0037,-0.1148,0.0041,0.115
0.644989,0.0274,-0.1157,0.0234,0.121
0.659414,0.0230,-0.0930,0.0181,0.098
0.674099,0.0095,-0.0653,0.0038,0.066
0.688934,-0.0181,-0.0574,-0.0063,0.060
0.703543,0.0022,-0.0483,-0.0158,0.051
0.717084,0.0269,-0.0529,0.0136,0.061
0.732167,0.0025,-0.0583,0.0280,0.065
0.746330,0.0040,-0.1120,0.0760,0.135
0.761065,0.0487,-0.0687,-0.1440,0.167
0.776098,0.0120,-0.0977,-0.0577,0.114
0.790665,-0.0154,-0.0690,-0.0823,0.108
0.805325,-0.0193,-0.0487,-0.0297,0.060
0.820084,0.0143,-0.0708,0.0234,0.076
0.834058,0.0383,-0.0706,0.0474,0.093
0.848023,0.0430,-0.0715,0.0331,0.090
0.863461,0.0339,-0.0778,0.0093,0.085
0.878838,0.0155,-0.0791,-0.0050,0.081
0.892292,-0.0028,-0.0801,-0.0049,0.080
0.907086,-0.0118,-0.0902,-0.0048,0.091
0.921739,-0.0068,-0.0913,-0.0287,0.096
0.936726,-0.0063,-0.0957,-0.0479,0.107
0.950013,-0.0009,-0.0757,-0.0384,0.085
0.964833,0.0001,-0.0884,0.0094,0.089
0.979765,0.0154,-0.0831,0.0237,0.088
0.994468,0.0164,-0.0642,-0.0002,0.066
1.008876,0.0077,-0.0654,-0.0098,0.067
1.023726,0.0032,-0.0564,-0.0055,0.057
1.038197,0.0186,-0.0475,-0.0055,0.051
1.052505,0.0245,-0.0483,-0.0054,0.054
1.067012,0.0111,-0.0586,-0.0053,0.060
1.081526,0.0075,-0.0732,0.0097,0.074
1.096616,0.0092,-0.0743,0.0002,0.075
1.109834,0.0048,-0.0617,-0.0050,0.062
1.125174,0.0109,-0.0774,-0.0187,0.080
1.139530,0.0116,-0.0785,-0.0186,0.082
1.154070,0.0027,-0.0793,-0.0089,0.080
1.167656,-0.0014,-0.0846,-0.0185,0.087
1.183304,0.0039,-0.0707,-0.0190,0.073
1.197276,0.0040,-0.0711,-0.0190,0.074
1.211350,0.0189,-0.0615,-0.0094,0.065
1.226458,0.0101,-0.0754,0.0145,0.077
1.241280,0.0157,-0.0710,0.0098,0.073
1.255979,0.0068,-0.0623,-0.0189,0.065
1.269556,-0.0015,-0.0528,-0.0572,0.078
1.284291,0.0272,-0.0565,0.0194,0.066
1.298813,0.0135,-0.0522,0.0625,0.083
1.314968,0.0188,-0.0634,-0.0284,0.072
1.328035,0.0001,-0.0591,-0.0284,0.066
1.342868,0.0098,-0.0730,0.0100,0.074
1.357270,0.0301,-0.0791,-0.1241,0.150
1.372102,0.0258,-0.0622,0.0242,0.072
1.385854,-0.0021,-0.0761,0.0816,0.112
1.400449,-0.0165,-0.1056,-0.0039,0.107
1.414963,0.0201,-0.0876,-0.1673,0.190
1.429734,0.0236,-0.0613,-0.1292,0.145
1.445395,0.0077,-0.0524,-0.0146,0.055
1.459291,0.0066,-0.0288,0.0377,0.048
1.473791,0.0151,-0.0392,0.1236,0.131
1.488746,0.0288,-0.0484,0.0667,0.087
1.503429,0.0435,-0.0593,0.0045,0.074
1.516637,0.0095,-0.0663,0.0143,0.068
1.531681,-0.0090,-0.0740,0.0433,0.086
1.546582,-0.0277,-0.0862,0.0148,0.092
1.561921,-0.0229,-0.0791,-0.0096,0.083
1.575394,-0.0035,-0.1036,0.0151,0.105
1.590662,0.0107,-0.1144,0.0343,0.120
1.604734,0.0255,-0.0922,0.0010,0.096
1.619882,0.0015,-0.0611,-0.0138,0.063
1.633318,-0.0028,-0.0484,-0.0328,0.059
1.648352,0.0025,-0.0355,-0.0327,0.048
1.663162,0.0218,-0.0317,0.0249,0.046
1.680585,0.0121,-0.0326,0.0681,0.076
1.691700,0.0220,-0.0830,0.1360,0.161
1.706542,0.0617,-0.0366,-0.1036,0.126
1.720821,0.0238,-0.0633,-0.0794,0.104
1.734440,0.0050,-0.0554,-0.0744,0.093
1.750164,-0.0102,-0.0409,-0.0223,0.048
1.764962,0.0083,-0.0549,0.0597,0.082
1.781283,0.0314,-0.0703,0.0646,0.100
1.794042,0.0449,-0.0818,0.0169,0.095
1.807276,0.0402,-0.0846,-0.0398,0.102
1.821850,-0.0028,-0.0813,-0.0115,0.082
1.836420,-0.0177,-0.0734,0.0030,0.076
1.851074,-0.0180,-0.0653,-0.0208,0.071
1.866292,0.0013,-0.0759,-0.0398,0.086
1.879975,0.0011,-0.0762,-0.0398,0.086
1.894276,0.0057,-0.0666,-0.0206,0.070
1.909558,-0.0031,-0.0571,0.0272,0.063
1.924007,0.0025,-0.0480,0.0369,0.061
1.938740,0.0074,-0.0587,0.0082,0.060
1.952444,0.0071,-0.0312,-0.0156,0.036
1.967097,0.0163,-0.0374,-0.0059,0.041
1.982018,0.0210,-0.0478,-0.0154,0.054
1.996955,0.0019,-0.0484,-0.0015,0.048
2.010841,0.0068,-0.0729,-0.0344,0.081
2.026359,0.0120,-0.0734,-0.0200,0.077
2.040214,0.0073,-0.0599,-0.0247,0.065
2.054394,-0.0021,-0.0703,0.0041,0.070
2.069414,0.0169,-0.0716,-0.0054,0.074
2.084510,0.0070,-0.0636,0.0044,0.064
2.098430,0.0165,-0.0606,0.0189,0.066
2.113324,0.0114,-0.0575,-0.0103,0.059
2.127568,0.0161,-0.0537,-0.0389,0.068
2.142382,-0.0027,-0.0593,-0.0628,0.086
2.157155,0.0026,-0.0393,-0.0437,0.059
2.172455,0.0125,-0.0518,0.0574,0.078
2.185513,0.0074,-0.0619,0.0574,0.085
2.200311,-0.0116,-0.0639,-0.0047,0.065
2.215044,0.0080,-0.0462,0.0140,0.049
2.230351,0.0378,-0.0810,0.0914,0.128
2.243988,0.0777,-0.0845,-0.0951,0.149
2.258489,0.0598,-0.0614,-0.1669,0.188
2.273845,-0.0026,-0.0816,-0.0379,0.090
2.287309,-0.0327,-0.0889,-0.0573,0.111
2.302261,-0.0050,-0.0622,-0.1780,0.189
2.317063,0.0171,0.0010,-0.0635,0.066
2.331315,-0.0035,0.0115,0.1419,0.142
2.345315,-0.0044,0.0186,0.1082,0.110
2.360632,0.0041,-0.0233,0.0650,0.069
2.375070,0.0024,-0.0572,-0.0015,0.057
2.390298,0.0115,-0.0624,-0.0781,0.101
2.404243,-0.0041,-0.0562,-0.0597,0.082
2.419192,-0.0283,-0.0726,-0.0210,0.081
2.434027,-0.0240,-0.1041,-0.0020,0.107
2.446964,-0.0051,-0.1024,-0.0118,0.103
2.462775,0.0191,-0.1148,0.0127,0.117
2.477250,0.0039,-0.0996,0.0072,0.100
2.491902,-0.0009,-0.0707,-0.0408,0.082
2.504882,0.0087,-0.0364,-0.0606,0.071
2.520156,-0.0009,0.0087,-0.0513,0.052
2.534117,0.0180,-0.0075,0.0203,0.028
2.548195,0.0366,0.0034,0.0202,0.042
2.562748,0.0117,-0.0579,0.0782,0.098
2.581151,0.0602,-0.0499,-0.0509,0.093
2.592517,0.0416,-0.0556,-0.0509,0.086
2.607012,0.0086,-0.0371,-0.0898,0.097
2.622305,-0.0206,-0.0164,-0.0564,0.062
2.635948,-0.0167,-0.0424,0.0111,0.047
2.652203,0.0246,-0.0505,0.0349,0.066
2.665795,0.0374,-0.0748,0.0451,0.095
2.679662,0.0229,-0.0817,-0.0128,0.086
2.694285,0.0038,-0.0638,-0.0462,0.079
2.708838,-0.0209,-0.0788,-0.0030,0.082
2.724143,-0.0262,-0.0748,0.0162,0.081
2.740483,-0.0173,-0.0708,-0.0268,0.078
2.752482,-0.0073,-0.0662,-0.0508,0.084
2.767380,0.0027,-0.0606,-0.0508,0.079
2.781184,-0.0119,-0.0496,0.0113,0.052
2.795742,-0.0168,-0.0388,0.0106,0.044
2.810797,-0.0079,-0.0425,0.0057,0.044
2.826155,0.0154,-0.0319,-0.0471,0.059
2.840145,0.0245,-0.0207,-0.0424,0.053
2.853584,0.0240,-0.0378,0.0011,0.045
2.869147,0.0092,-0.0499,0.0153,0.053
2.882860,0.0089,-0.0634,0.0248,0.069
2.898027,0.0180,-0.0491,0.0152,0.054
2.913429,0.0036,-0.0596,-0.0183,0.062
2.926757,0.0088,-0.0737,-0.0470,0.088
2.941158,0.0174,-0.0396,-0.0423,0.060
2.956149,0.0120,-0.0568,0.0246,0.063
2.969894,0.0011,-0.0610,0.0150,0.063
2.984610,-0.0001,-0.0617,-0.0233,0.066
2.998953,0.0043,-0.0569,-0.0281,0.064
3.013667,0.0044,-0.0564,0.0389,0.069
3.028383,0.0096,-0.0768,0.0636,0.100
3.043653,0.0061,-0.0512,-0.1715,0.179
3.057649,0.0023,-0.0440,-0.1429,0.150
3.071330,-0.0320,-0.0535,0.0291,0.069
3.086497,-0.0195,-0.0755,-0.0047,0.078
3.100366,0.0077,-0.0357,-0.1389,0.144
3.115973,0.0297,0.0302,-0.0153,0.045
3.130687,0.0140,0.0187,0.1527,0.155
3.145543,0.0375,0.0418,0.0420,0.070
3.159361,0.0702,-0.0445,-0.0196,0.085
3.174300,0.0739,-0.0829,-0.0717,0.132
3.188006,0.0255,-0.0862,-0.0766,0.118
3.202446,-0.0370,-0.0698,-0.0241,0.083
3.217450,-0.0374,-0.0777,-0.0243,0.090
3.232322,-0.0333,-0.0715,-0.0388,0.088
3.245921,-0.0289,-0.0748,-0.0389,0.089
3.262117,-0.0194,-0.0824,-0.0007,0.085
3.276347,-0.0193,-0.0815,-0.0392,0.092
3.289719,-0.0094,-0.0610,-0.0441,0.076
3.304467,-0.0089,-0.0163,-0.0400,0.044
3.318697,-0.0092,0.0093,-0.0306,0.033
3.333505,0.0053,-0.0037,0.0124,0.014
3.348725,0.0096,0.0063,-0.0212,0.024
3.361990,-0.0005,-0.0511,0.0273,0.058
3.377422,0.0191,-0.0483,-0.0970,0.110
3.396553,-0.0048,-0.0400,-0.0928,0.101
3.406494,-0.0332,-0.0249,-0.0833,0.093
3.421287,-0.0294,-0.0412,0.0225,0.055
3.435751,0.0174,-0.0499,0.0177,0.056
3.450087,0.0341,-0.0400,0.0464,0.070
3.464584,0.0334,-0.0542,0.0560,0.085
3.481282,0.0136,-0.0703,-0.0301,0.078
3.492920,0.0038,-0.0715,-0.0444,0.084
3.508549,-0.0114,-0.0805,-0.0061,0.082
3.522805,-0.0027,-0.0612,-0.0061,0.062
3.537001,0.0016,-0.0570,-0.0205,0.061
3.551640,0.0159,-0.0608,-0.0109,0.064
3.571133,0.0070,-0.0461,0.0034,0.047
3.586240,0.0124,-0.0315,0.0034,0.034
3.600071,0.0127,-0.0271,-0.0164,0.034
3.615833,0.0222,-0.0126,-0.0164,0.030
3.629712,0.0120,-0.0125,-0.0068,0.019
3.643722,0.0174,-0.0265,-0.0062,0.032
3.657875,-0.0019,-0.0370,-0.0349,0.051
3.672666,-0.0164,-0.0370,-0.0451,0.061
3.688333,-0.0114,-0.0416,-0.0158,0.046
3.701453,-0.0074,-0.0313,0.0225,0.039
3.716679,0.0015,-0.0510,0.0465,0.069
3.729998,-0.0177,-0.0619,-0.0348,0.073
3.745107,0.0015,-0.0621,-0.0540,0.082
3.760508,-0.0082,-0.0567,0.0562,0.080
3.774155,0.0018,-0.0722,0.0755,0.104
3.788659,0.0376,-0.0429,-0.2410,0.248
3.803075,-0.0101,-0.0444,-0.0832,0.095
3.818031,-0.0114,-0.0837,0.0656,0.107
3.834164,0.0112,-0.0697,-0.0541,0.089
3.847301,0.0189,-0.0356,-0.1362,0.142
3.862291,0.0414,-0.0090,0.0462,0.063
3.876270,0.0462,0.0298,0.1126,0.125
3.891090,0.0169,0.0180,-0.0022,0.025
3.905790,0.0310,-0.0016,-0.0500,0.059
3.919891,0.0109,-0.0204,-0.0692,0.073
3.934007,-0.0044,-0.0436,-0.0447,0.063
3.949303,-0.0387,-0.0755,-0.0017,0.085
3.963839,-0.0439,-0.0846,0.0078,0.096
3.977147,-0.0205,-0.0846,0.0126,0.088
3.992184,-0.0160,-0.0896,0.0126,0.092
4.007224,-0.0065,-0.0803,-0.0065,0.081
4.021657,-0.0016,-0.0568,-0.0400,0.070
4.035998,-0.0110,-0.0274,-0.0449,0.054
4.051193,-0.0012,-0.0169,-0.0210,0.027
4.064714,-0.0015,0.0078,-0.0169,0.019
4.080127,0.0232,-0.0053,-0.0020,0.024
4.095069,0.0319,0.0142,0.0117,0.037
4.108959,0.0073,-0.0243,0.0602,0.065
4.123432,0.0413,-0.0496,0.0269,0.070
4.137922,0.0421,-0.0385,-0.1310,0.143
4.152462,-0.0100,-0.0195,-0.1076,0.110
4.167332,-0.0240,-0.0272,-0.0210,0.042
4.181556,-0.0251,-0.0114,-0.0025,0.028
4.196548,0.0211,-0.0389,0.0405,0.060
4.210171,0.0342,-0.0392,0.0747,0.091
4.223779,0.0195,-0.0415,0.0216,0.051
4.239372,-0.0131,-0.0535,-0.0357,0.066
4.253263,-0.0227,-0.0593,-0.0260,0.069
4.268387,-0.0284,-0.0590,0.0027,0.066
4.282532,-0.0091,-0.0543,-0.0116,0.056
4.297937,0.0006,-0.0446,-0.0596,0.074
4.312363,0.0099,-0.0195,-0.0309,0.038
4.326829,-0.0182,-0.0231,0.0265,0.040
4.341406,-0.0083,-0.0182,0.0025,0.020
4.356093,-0.0034,-0.0241,-0.0358,0.043
4.370664,0.0107,-0.0147,-0.0405,0.044
