time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003573,-0.2119,0.2171,-0.4194,0.518
0.018459,-0.1214,0.1727,-0.3928,0.446
0.032216,-0.0451,0.0628,-0.3448,0.353
0.047455,-0.0352,-0.0369,-0.1892,0.196
0.061203,-0.0438,0.0066,-0.1123,0.121
0.075914,-0.0719,0.0639,-0.0350,0.102
0.090933,-0.0899,0.0684,-0.0487,0.123
0.105574,-0.0835,0.0288,-0.1268,0.155
0.120152,-0.1115,-0.0527,-0.1236,0.175
0.134433,-0.1209,-0.0637,-0.1491,0.202
0.149040,-0.1110,-0.0121,-0.1793,0.211
0.163565,-0.1253,0.0200,-0.1716,0.213
0.178631,-0.1158,0.0627,-0.1610,0.208
0.191972,-0.1398,0.0722,-0.1369,0.209
0.207405,-0.1304,0.0155,-0.1081,0.170
0.221681,-0.1064,-0.0084,-0.1125,0.155
0.235750,-0.0633,-0.0276,-0.1459,0.161
0.250135,-0.0440,0.0009,-0.1832,0.188
0.264658,-0.0438,0.0241,-0.2023,0.208
0.278936,-0.0485,0.0193,-0.2166,0.223
0.293930,-0.0678,0.0296,-0.1455,0.163
0.308181,-0.0776,0.0394,-0.1175,0.146
0.323344,-0.0732,0.0636,-0.1425,0.172
0.338191,-0.0928,0.0922,-0.2025,0.241
0.352782,-0.0885,0.0027,-0.1805,0.201
0.366353,-0.1035,-0.0392,-0.1324,0.173
0.381994,-0.0749,-0.0799,-0.0548,0.122
0.397697,-0.0556,-0.0687,-0.0059,0.089
0.409861,-0.0695,-0.0351,-0.0379,0.087
0.425198,-0.0693,0.0223,-0.0876,0.114
0.439552,-0.0835,0.0367,-0.1767,0.199
0.454379,-0.0924,0.0472,-0.1419,0.176
0.469012,-0.0479,0.0112,-0.0399,0.063
0.482542,0.0012,-0.0016,0.0629,0.063
0.498704,0.0232,-0.0390,0.0764,0.089
0.512927,-0.0275,-0.0830,-0.0032,0.087
0.525896,-0.0642,-0.0274,-0.1502,0.166
0.541625,-0.1355,0.0179,-0.3107,0.339
0.556123,-0.1786,0.0744,-0.3481,0.398
0.569457,-0.2220,0.0654,-0.2716,0.357
0.583859,-0.2275,0.0278,-0.1523,0.275
0.599616,-0.2126,-0.0148,-0.1370,0.253
0.613017,-0.1983,-0.0293,-0.1220,0.235
0.628094,-0.1745,0.0086,-0.1446,0.227
0.643714,-0.1274,0.0082,-0.1334,0.185
0.657432,-0.1105,0.0459,-0.1223,0.171
0.672241,-0.0839,0.0165,-0.1389,0.163
0.686434,-0.0396,-0.0170,-0.0888,0.099
0.701093,-0.0289,-0.0505,-0.0286,0.065
0.714610,-0.0182,-0.0419,-0.0113,0.047
0.730359,0.0073,-0.0279,0.0639,0.070
0.744458,-0.0006,-0.0336,0.1075,0.113
0.759048,0.0075,-0.0315,0.0576,0.066
0.773639,-0.0231,0.0032,-0.0634,0.068
0.788204,-0.0488,0.0051,-0.1364,0.145
0.802815,-0.0933,0.0031,-0.1102,0.144
0.816567,-0.0996,-0.0132,-0.0833,0.131
0.831627,-0.0815,-0.0728,-0.1327,0.172
0.846098,-0.1068,-0.0423,-0.1618,0.198
0.860251,-0.0832,0.0367,-0.1535,0.178
0.875092,-0.0450,0.0538,-0.1214,0.140
0.889661,-0.0588,0.0327,-0.1091,0.128
0.904510,-0.0383,-0.0315,-0.1440,0.152
0.919581,-0.0614,-0.0341,-0.2223,0.233
0.933552,-0.0513,0.0165,-0.2198,0.226
0.948473,-0.0804,0.0433,-0.1792,0.201
0.962085,-0.0518,0.0085,-0.1472,0.156
0.976889,-0.0374,-0.0175,-0.1004,0.109
0.991436,-0.0413,-0.0190,-0.0583,0.074
1.005986,-0.0449,-0.0590,0.0084,0.075
1.021297,-0.0434,-0.0671,0.0002,0.080
1.035747,-0.0420,-0.0371,-0.0501,0.075
1.049418,-0.0402,-0.0305,-0.0572,0.076
1.063861,-0.0906,-0.0334,-0.0122,0.097
1.078281,-0.0879,-0.0696,0.0738,0.134
1.093082,-0.0515,-0.0399,0.0899,0.111
1.108011,-0.0054,-0.0164,-0.0015,0.017
1.122306,0.0030,0.0447,-0.1255,0.133
1.136827,0.0150,0.0583,-0.2217,0.230
1.150979,-0.0113,0.0546,-0.2496,0.256
1.165130,-0.0229,0.0229,-0.2217,0.224
1.180727,-0.1156,0.0389,-0.1966,0.231
1.194358,-0.1412,0.0270,-0.1765,0.228
1.209254,-0.1330,0.0152,-0.1950,0.237
1.224063,-0.1629,0.0459,-0.2143,0.273
1.238493,-0.1065,0.0158,-0.2093,0.235
1.254125,-0.1125,-0.0052,-0.2295,0.256
1.267102,-0.1619,-0.0116,-0.1930,0.252
1.281543,-0.1405,0.0443,-0.1435,0.206
1.295751,-0.0870,0.0429,-0.1316,0.164
1.310720,-0.0058,0.0135,-0.0968,0.098
1.325514,0.0420,-0.0109,-0.0777,0.089
1.340455,-0.0054,-0.0832,-0.0052,0.084
1.355341,-0.0563,-0.1222,0.0536,0.145
1.369390,-0.1014,-0.0909,0.0231,0.138
1.383133,-0.0652,0.0448,-0.0458,0.091
1.398685,-0.0802,0.0709,-0.0838,0.136
1.412485,-0.1131,-0.0121,-0.0584,0.128
1.427661,-0.1418,-0.1107,-0.0944,0.203
1.442207,-0.2756,-0.0609,-0.1465,0.318
1.457164,-0.1383,0.0130,-0.1890,0.235
1.471321,0.0157,0.1212,-0.1563,0.198
1.486236,0.0049,0.0961,-0.1095,0.146
1.500853,0.0828,-0.1477,-0.0149,0.170
1.514799,0.1147,-0.1951,0.2208,0.316
1.529547,0.2061,0.0416,0.1947,0.287
1.546291,0.0674,0.1984,-0.0758,0.223
1.558112,-0.1350,0.1930,-0.2626,0.353
1.573266,-0.3044,-0.0111,-0.3594,0.471
1.587541,-0.3808,-0.1936,-0.3068,0.526
1.602347,-0.2303,-0.1506,-0.1516,0.314
1.617167,-0.0578,0.0257,-0.0506,0.081
1.631983,0.0251,0.1095,-0.0758,0.136
1.645872,0.0577,0.0781,-0.1856,0.209
1.659604,0.0823,-0.0047,-0.1894,0.207
1.674010,0.0698,-0.0681,-0.1317,0.164
1.689596,-0.0042,-0.0464,-0.1045,0.114
1.704391,-0.0830,0.0330,-0.1214,0.151
1.717770,-0.1805,0.0553,-0.1161,0.222
1.736532,-0.1828,0.0215,-0.0584,0.193
1.747097,-0.1428,-0.0501,0.0052,0.151
1.761388,-0.0844,-0.0704,0.0111,0.110
1.777426,-0.0684,-0.0771,-0.0535,0.116
1.791213,-0.0147,-0.0067,-0.0653,0.067
1.805074,-0.0571,0.0299,-0.0549,0.085
1.819589,-0.0601,0.0049,-0.0687,0.091
1.835377,-0.0643,-0.0056,-0.0924,0.113
1.848515,-0.0737,-0.0256,-0.1110,0.136
1.864256,-0.0546,-0.0074,-0.1213,0.133
1.878480,-0.0554,-0.0040,-0.1266,0.138
1.894291,-0.0326,-0.0097,-0.1271,0.132
1.907741,-0.0007,-0.0249,-0.1413,0.143
1.921646,0.0171,-0.0539,-0.1417,0.153
1.936299,-0.0264,-0.0404,-0.0558,0.074
1.951343,-0.0260,-0.0073,-0.0075,0.028
1.965630,-0.0012,0.0053,-0.0210,0.022
1.979761,-0.0144,0.0323,-0.0958,0.102
1.994021,-0.0179,0.0497,-0.1382,0.148
2.009269,-0.0504,0.0250,-0.1911,0.199
2.024653,-0.0490,0.0102,-0.1887,0.195
2.037440,-0.0475,-0.0317,-0.0776,0.096
2.052193,-0.0890,-0.0694,0.0048,0.113
2.066823,-0.0924,-0.0602,0.0112,0.111
2.081818,-0.0769,-0.0004,-0.1242,0.146
2.096370,-0.0617,0.0647,-0.2504,0.266
2.111108,-0.0750,0.0885,-0.2826,0.305
2.125812,-0.1167,0.0464,-0.2078,0.243
2.140013,-0.1537,-0.0003,-0.1290,0.201
2.156059,-0.0812,-0.0655,-0.0258,0.107
2.168854,-0.0327,-0.0644,0.0051,0.072
2.183399,-0.0085,-0.0641,-0.0011,0.065
