time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005455,-0.1131,0.0021,-0.1071,0.156
0.020941,-0.1172,0.1317,-0.5789,0.605
0.035749,-0.0569,0.0260,-0.1373,0.151
0.050333,0.0367,-0.1239,0.1884,0.228
0.064841,0.0590,-0.1183,0.2075,0.246
0.078769,0.0997,-0.0326,0.1424,0.177
0.093708,0.1084,0.0002,0.0647,0.126
0.107551,0.0882,-0.0244,0.0115,0.092
0.122938,0.0158,-0.0105,-0.0284,0.034
0.137164,-0.0328,-0.0152,0.0023,0.036
0.151753,-0.0146,-0.0287,0.0419,0.053
0.165508,0.0085,-0.0238,0.0532,0.059
0.180041,0.0168,-0.0093,0.0414,0.046
0.195155,0.0074,-0.0188,-0.0037,0.021
0.210425,-0.0073,-0.0048,-0.0116,0.015
0.224262,-0.0027,-0.0279,0.0175,0.033
0.238758,-0.0034,-0.0179,0.0509,0.054
0.253245,-0.0033,-0.0218,0.0752,0.078
0.268663,0.0017,-0.0311,0.0473,0.057
0.281967,-0.0030,-0.0260,0.0625,0.068
0.296670,0.0164,-0.0257,0.0589,0.066
0.311220,0.0308,-0.0063,0.0651,0.072
0.325408,0.0261,-0.0156,0.0669,0.074
0.340690,0.0308,-0.0298,0.0545,0.069
0.355472,0.0308,-0.0248,0.0617,0.073
0.370024,-0.0025,-0.0246,0.0546,0.060
0.383540,0.0120,-0.0341,0.0622,0.072
0.398790,0.0214,-0.0435,0.0797,0.093
0.413009,0.0261,-0.0285,0.0975,0.105
0.430261,0.0593,-0.0572,0.0878,0.120
0.441752,0.0543,-0.0194,0.0104,0.059
0.457408,0.0398,-0.0056,-0.0096,0.041
0.471488,0.0107,-0.0241,0.0316,0.041
0.485871,0.0106,-0.0521,0.1113,0.123
0.500919,0.0057,-0.0335,0.0869,0.093
0.514859,0.0439,-0.0048,0.0249,0.051
0.529973,0.0296,-0.0054,-0.0088,0.031
0.544297,-0.0278,-0.0196,-0.0342,0.048
0.557998,-0.0806,-0.0380,0.0544,0.104
0.573103,-0.0476,-0.0523,0.0865,0.112
0.587793,-0.0001,-0.0475,0.0576,0.075
0.602738,0.0236,-0.0284,0.0343,0.050
0.617974,0.0139,-0.0195,0.0057,0.025
0.630736,-0.0242,-0.0003,0.0141,0.028
0.645445,-0.0287,0.0094,0.0323,0.044
0.660642,-0.0334,-0.0378,0.0415,0.065
0.674647,0.0002,-0.0425,0.0168,0.046
0.689541,-0.0045,-0.0233,0.0113,0.026
0.704414,0.0248,-0.0334,-0.0184,0.046
0.718787,0.0149,-0.0279,0.0142,0.035
0.732360,0.0110,-0.0422,-0.0005,0.044
