time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008026,0.5304,0.1176,0.1215,0.557
0.023203,0.4679,0.0742,0.1215,0.489
0.037679,0.4356,0.1550,0.0721,0.468
0.052347,0.3993,0.1498,0.0083,0.427
0.066250,0.3835,0.0168,0.0168,0.384
0.080652,0.4626,-0.0497,-0.0182,0.466
0.098021,0.4516,-0.1444,-0.0299,0.475
0.110273,0.3798,-0.2059,-0.0317,0.433
0.124639,0.2770,-0.1776,-0.0672,0.336
0.139366,0.2093,-0.1917,-0.1341,0.314
0.154174,0.1098,-0.1483,-0.1483,0.237
0.168868,0.0435,-0.0475,-0.1285,0.144
0.182657,0.0821,0.0585,-0.1075,0.147
0.197932,0.0957,0.2303,-0.1104,0.273
0.211635,0.2476,0.2986,-0.0802,0.396
0.226328,0.2316,0.4178,-0.1136,0.491
0.241211,0.2597,0.3907,-0.1089,0.482
0.255657,0.1715,0.2879,-0.0068,0.335
0.270314,0.0723,0.0616,0.0166,0.096
0.284938,-0.0770,-0.2345,0.1292,0.279
0.299553,-0.1711,-0.3785,0.1836,0.454
0.315900,-0.1950,-0.3844,0.1913,0.472
0.328210,-0.1479,-0.3424,0.2353,0.441
0.342286,-0.0837,-0.3991,0.0835,0.416
0.357294,-0.2991,-0.3935,0.0821,0.501
0.371931,-0.6493,-0.2830,0.1608,0.726
0.386885,-1.0386,0.0130,0.1464,1.049
0.401272,-1.1761,0.2863,0.1889,1.225
0.414863,-0.9609,0.3631,0.0302,1.028
0.430980,-0.5224,0.2316,-0.0604,0.575
0.444371,-0.2907,0.0629,0.0316,0.299
0.458398,-0.1977,-0.0414,0.3697,0.421
0.473538,-0.2903,-0.0427,0.6078,0.675
0.488129,-0.4199,0.1159,0.6148,0.753
0.503098,-0.3230,0.3031,0.5470,0.704
0.516810,-0.0920,0.3214,0.3800,0.506
0.531482,0.2261,0.1033,0.4503,0.514
0.545654,0.3247,0.0183,0.6398,0.718
0.561067,0.2298,-0.1829,0.7850,0.838
0.581706,0.1119,-0.4813,0.7061,0.862
0.590226,-0.2686,-0.5089,0.6244,0.849
0.604323,-0.3899,-0.4740,0.4168,0.742
0.618988,-0.5575,-0.3155,0.1220,0.652
0.633260,-0.4295,-0.5264,0.0828,0.684
0.647905,-0.4101,-0.7170,0.0913,0.831
0.662446,-0.2904,-0.9107,0.3412,1.015
0.681458,-2.0260,-1.2414,0.9459,2.557
0.691623,0.3068,-0.6525,0.4344,0.842
0.706245,1.0218,-0.5006,0.7159,1.344
0.719849,-0.0983,-0.3471,0.5270,0.639
0.735474,-0.3486,-0.4358,0.6309,0.842
0.749934,-0.1578,-0.3806,0.8088,0.908
0.764216,-0.1748,-0.2961,1.1513,1.202
0.781216,-0.3042,-0.2382,1.3401,1.395
0.792551,-0.2390,-0.3280,1.6630,1.712
0.807780,-0.0330,-0.7724,1.8557,2.010
0.822319,0.1095,-1.3998,1.9427,2.397
0.836703,-0.4985,-1.6348,2.4951,3.024
0.851312,0.5378,-0.9686,2.6332,2.857
0.865698,-0.2281,-0.1558,2.4386,2.454
0.879857,-0.2595,0.4655,1.9122,1.985
0.895125,-0.0631,0.9286,1.1591,1.487
0.909584,-0.0558,1.5274,0.7148,1.687
0.924077,-0.2396,2.2219,0.9042,2.411
0.938575,-0.2543,2.6745,0.9377,2.846
0.953232,-0.3104,3.3390,0.1988,3.359
0.967894,-0.3045,3.7733,0.3312,3.800
0.982655,-0.8790,4.2969,0.8536,4.468
0.997222,-1.2771,3.9502,1.6953,4.484
1.011142,-2.6642,4.0032,1.3508,4.995
1.025349,-2.6750,4.1392,0.7805,4.990
1.040143,-2.3292,4.0953,-0.3674,4.726
1.054247,-1.5256,3.7414,-1.1704,4.207
