time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002536,0.0374,-0.0322,-0.1435,0.152
0.017042,0.1163,0.0827,0.0160,0.144
0.031283,0.1864,-0.0076,0.0473,0.192
0.045561,0.1663,-0.0685,0.2500,0.308
0.059581,0.1081,-0.0553,0.2379,0.267
0.075266,0.0409,-0.0046,0.1469,0.153
0.089131,-0.0020,0.0371,0.0667,0.076
0.103272,0.0033,0.0542,-0.0223,0.059
0.119256,0.0140,0.0391,-0.0548,0.069
0.132691,0.0534,0.0391,-0.0361,0.075
0.147857,0.0544,0.0530,0.0243,0.080
0.161653,0.0741,0.0532,0.0841,0.124
0.177673,0.0559,0.0623,0.1102,0.138
0.191399,0.0523,0.0421,0.0322,0.074
0.205838,0.0454,0.0122,-0.0779,0.091
0.220397,0.1236,-0.0020,-0.0745,0.144
0.235383,0.0636,-0.0070,-0.0011,0.064
0.249161,0.1030,0.0316,0.0474,0.118
0.263023,0.0617,0.0118,0.0131,0.064
0.278506,0.0094,-0.0020,0.0969,0.097
0.292352,-0.0322,-0.1116,0.0907,0.147
0.307550,-0.0312,-0.1363,0.0477,0.148
0.321881,0.0417,-0.0790,-0.0103,0.090
0.336922,0.0858,-0.0319,-0.0539,0.106
0.350347,0.0383,-0.0553,0.0594,0.090
0.365407,-0.0530,-0.0974,0.1746,0.207
0.379697,-0.0261,-0.0508,0.1206,0.133
0.394375,-0.2996,-0.2493,-0.0440,0.392
0.408855,-0.5045,-0.3855,-0.1450,0.651
0.423563,-0.6849,-0.4020,-0.2415,0.830
0.438005,-0.7650,-0.3322,-0.3150,0.892
0.452856,-0.6457,-0.1026,-0.2138,0.688
0.466622,-0.4366,0.1900,0.0389,0.478
0.481774,-0.2243,0.4787,0.3501,0.634
0.496187,-0.0275,0.7381,0.6215,0.965
0.510918,-0.0851,0.5378,0.6695,0.863
0.525164,-0.4558,0.1417,0.8289,0.956
0.539866,-0.7034,-0.2355,0.9624,1.215
0.554560,-0.8047,-0.3372,0.9317,1.276
0.569067,-0.7971,-0.2648,0.6532,1.064
0.582694,-0.5994,-0.1935,0.2856,0.692
0.598150,-0.3511,-0.1408,-0.0998,0.391
0.612710,-0.0700,-0.2380,-0.2281,0.337
0.627163,0.2285,-0.2858,-0.1127,0.383
0.641526,0.4965,-0.2278,0.0594,0.549
0.655949,0.6821,-0.1512,0.2295,0.735
0.670747,0.8787,-0.1554,0.3449,0.957
0.685421,0.9683,-0.2663,0.3355,1.059
0.698757,0.9728,-0.3684,0.2598,1.072
0.713653,1.0807,-0.3996,0.1400,1.161
0.728626,1.1752,-0.3673,0.2102,1.249
0.742489,1.0101,-0.2830,0.2938,1.089
0.757626,0.7224,-0.2176,0.3578,0.835
0.772424,0.6101,-0.3123,0.5842,0.901
0.786892,0.4913,-0.4158,0.9381,1.138
0.800441,0.2743,-0.2950,1.3168,1.377
0.815483,0.0143,0.0676,1.5558,1.557
0.829662,-0.1688,0.5774,1.6849,1.789
0.845268,-0.0307,0.7041,1.4848,1.644
0.859782,-0.1357,0.5865,1.1920,1.335
0.873892,0.1102,0.2517,1.0575,1.093
0.888346,0.2059,-0.1411,0.9516,0.984
0.903699,0.5013,-0.4764,0.6933,0.979
0.917694,0.7548,-0.6913,0.6546,1.215
0.932639,0.7422,-0.6769,0.8177,1.295
0.946472,0.8342,-0.7509,1.1248,1.589
0.963678,0.7550,-0.8459,1.2943,1.721
0.975118,0.6151,-0.7374,1.2349,1.564
0.990757,0.4575,-0.5056,1.1297,1.320
1.004713,0.2963,-0.3156,1.1788,1.256
1.019956,0.1784,-0.2914,1.2789,1.324
1.033031,0.3386,-0.3678,1.2888,1.382
1.048325,0.5541,-0.4442,1.2359,1.425
1.062257,0.7807,-0.3631,1.2328,1.504
1.077073,0.9530,-0.3347,1.2138,1.579
1.091678,1.0236,-0.2387,1.3362,1.700
1.106592,0.8771,-0.1058,1.3678,1.628
1.120933,0.6861,0.0409,1.4060,1.565
1.135629,0.5644,0.0925,1.4409,1.550
1.149230,0.4826,0.1490,1.4025,1.491
1.164800,0.5974,0.1878,1.4873,1.614
1.183113,0.7930,0.3308,1.4929,1.722
1.193113,0.8086,0.5089,1.6366,1.895
1.208220,0.7365,0.5777,1.8494,2.073
1.222663,0.4836,0.5505,2.0983,2.223
1.237585,0.3001,0.5681,2.3763,2.462
1.252089,0.3714,0.6177,2.3759,2.483
1.265813,0.6127,0.6431,2.2526,2.421
1.282991,0.9038,0.6730,1.9278,2.233
