time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003112,-0.3359,0.2243,-0.2808,0.492
0.016703,-0.1200,-0.0726,0.1680,0.219
0.031318,-0.2305,0.0044,0.3168,0.392
0.046292,-0.1265,0.0298,0.5263,0.542
0.062987,-0.0290,-0.0620,0.3168,0.324
0.076588,-0.0616,-0.1005,0.3191,0.340
0.090727,-0.0938,-0.0437,0.2532,0.274
0.104650,-0.0921,-0.0295,0.2599,0.277
0.119969,-0.0329,-0.0488,0.2574,0.264
0.133318,0.0118,-0.0249,0.2452,0.247
0.148993,0.0561,0.0079,0.1749,0.184
0.163180,0.0577,0.0076,0.1235,0.136
0.175970,0.0635,-0.0262,0.1239,0.142
0.191651,0.1075,-0.0781,0.2094,0.248
0.206175,0.1468,-0.1402,0.2565,0.327
0.220400,0.2291,-0.1590,0.2856,0.399
0.235573,0.3017,-0.2209,0.3450,0.509
0.250925,0.3547,-0.2252,0.3678,0.558
0.265355,0.3501,-0.1396,0.3672,0.526
0.277552,0.2641,-0.0114,0.3037,0.403
0.292578,0.2126,0.0791,0.2403,0.330
0.307711,0.2751,0.1407,0.2400,0.391
0.323189,0.3360,0.0885,0.2208,0.412
0.336260,0.3487,-0.0069,0.2550,0.432
0.352310,0.2079,-0.0692,0.2759,0.352
0.365771,0.0957,-0.1224,0.2019,0.255
0.380993,0.1176,-0.1667,0.0418,0.208
0.395667,0.1724,-0.2147,-0.0525,0.280
0.410148,0.2158,-0.2474,0.0860,0.339
0.424284,0.2823,-0.1462,0.2563,0.408
0.439514,0.3534,0.0742,0.4166,0.551
0.452836,0.4051,0.3156,0.2655,0.578
0.467768,0.4234,0.3725,0.2782,0.629
0.483919,0.2754,0.2674,0.3445,0.516
0.496055,-0.0510,0.0474,0.3537,0.360
0.511876,-0.5099,-0.1294,0.3606,0.638
0.526747,-0.7297,-0.2184,0.5174,0.921
0.539624,-0.7066,-0.2072,0.5057,0.893
0.556157,-0.5727,-0.1334,0.5516,0.806
0.568780,-0.3639,0.0316,0.7421,0.827
0.585324,-0.1478,0.1878,1.0918,1.118
0.598714,-0.0717,0.4335,1.3859,1.454
0.613271,-0.0105,0.5968,1.5138,1.627
0.628129,0.0345,0.7107,1.4704,1.633
0.642861,-0.1541,0.7035,1.2914,1.479
0.656096,-0.6995,0.5181,0.9396,1.281
0.672084,-0.9339,0.0004,0.7386,1.191
0.686759,-0.8802,-0.5293,0.8323,1.322
0.699808,-0.7373,-0.9201,1.0429,1.574
0.715695,-0.5271,-1.3490,1.2345,1.903
0.728618,-0.3217,-1.5603,1.2638,2.033
0.744202,-0.1745,-1.5105,1.1477,1.905
0.759614,-0.0045,-1.4398,1.1963,1.872
0.772395,0.2396,-1.3333,1.0112,1.690
0.789664,0.4273,-1.2709,0.7430,1.533
0.805091,0.5743,-1.3509,0.5749,1.576
0.816829,0.5821,-1.5310,0.5441,1.726
0.830630,0.6108,-1.7613,0.8248,2.038
0.845670,0.5300,-1.8687,0.8672,2.127
