time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007734,0.1988,-0.3798,-0.2931,0.519
0.021297,0.1749,-0.3889,-0.1159,0.442
0.036428,0.0329,-0.3046,-0.0170,0.307
0.050480,-0.0296,-0.2163,0.0582,0.226
0.063927,0.0451,-0.2145,0.0826,0.234
0.078910,0.1009,-0.2469,0.1310,0.297
0.095017,0.0862,-0.2187,0.0969,0.254
0.107342,0.0532,-0.2476,0.0586,0.260
0.124392,0.0543,-0.2774,-0.0317,0.284
0.138175,0.0691,-0.2880,-0.1274,0.322
0.150685,0.0644,-0.2687,-0.1424,0.311
0.167931,0.0788,-0.2486,-0.0899,0.276
0.182002,0.0737,-0.2408,0.0152,0.252
0.195823,0.0727,-0.2528,0.1257,0.292
0.211989,0.0722,-0.2760,0.1256,0.312
0.224855,0.0583,-0.2575,0.0389,0.267
0.241385,0.0730,-0.2824,-0.0180,0.292
0.254151,0.0925,-0.2304,-0.2054,0.322
0.268394,0.0588,-0.2258,-0.0478,0.238
0.282393,0.0532,-0.2746,0.0098,0.280
0.297321,0.1381,-0.2676,-0.0624,0.308
0.310854,0.0801,-0.2255,-0.0437,0.243
0.338236,0.0263,-0.1722,0.0220,0.176
0.343286,0.0347,-0.1853,0.0021,0.189
0.355935,0.0948,-0.2552,0.0265,0.274
0.370410,0.1024,-0.2938,0.0212,0.312
0.386049,0.0677,-0.2779,-0.0221,0.287
0.398273,0.0479,-0.2711,-0.0319,0.277
0.415024,0.0617,-0.2641,-0.0227,0.272
0.437567,0.0655,-0.2526,-0.0517,0.266
0.442608,0.0450,-0.2628,-0.0138,0.267
0.458317,0.0343,-0.2492,0.0624,0.259
0.470616,0.0526,-0.2612,0.1004,0.285
0.486024,0.0859,-0.2365,0.0811,0.264
0.500757,0.0716,-0.2089,-0.0200,0.222
0.521937,0.0622,-0.2032,-0.0872,0.230
0.529077,0.0381,-0.2106,-0.0444,0.219
0.547030,0.0767,-0.2748,0.0566,0.291
0.559501,0.0962,-0.2934,0.0092,0.309
0.575175,0.0631,-0.2176,-0.1022,0.248
0.587247,0.0536,-0.1956,-0.0067,0.203
0.603223,0.0625,-0.2119,0.0649,0.230
0.620654,0.0660,-0.2393,0.0462,0.253
0.630872,0.0746,-0.2392,0.0510,0.256
0.646074,0.0550,-0.2403,0.0367,0.249
0.661995,0.0354,-0.2264,0.0122,0.229
0.675387,0.0396,-0.2415,-0.0405,0.248
0.689383,0.0583,-0.2463,-0.0542,0.259
0.702852,0.0677,-0.2358,-0.0399,0.249
0.717476,0.0534,-0.2399,0.0031,0.246
0.733375,0.0534,-0.2440,0.0078,0.250
0.746652,0.0528,-0.2286,-0.0216,0.236
0.762040,0.0854,-0.2373,0.0220,0.253
0.776864,0.0843,-0.2417,0.0172,0.257
0.790339,0.0834,-0.2273,-0.0259,0.243
0.807146,0.0918,-0.2316,-0.0068,0.249
0.821598,0.0717,-0.2313,-0.0164,0.243
0.836061,0.0705,-0.2217,-0.0404,0.236
0.849329,0.0792,-0.2248,-0.0309,0.240
0.863849,0.0683,-0.2330,-0.0071,0.243
0.879889,0.0624,-0.2272,0.0310,0.238
0.892931,0.0377,-0.2214,0.0597,0.232
0.905606,0.0466,-0.2313,0.0694,0.246
