time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003093,0.0764,-0.1678,0.4635,0.499
0.010634,-0.0469,-0.2415,0.6893,0.732
0.031451,0.0463,-0.2429,0.4666,0.528
0.040685,-0.6228,0.2961,-3.0644,3.141
0.055911,0.3628,-0.0497,1.2160,1.270
0.070569,-0.1194,-0.2853,0.3940,0.501
0.085334,-0.2358,-0.1578,0.3009,0.414
0.097815,-0.0217,-0.2464,0.5194,0.575
0.111901,-0.0189,-0.1510,0.2032,0.254
0.127182,-0.1243,-0.1219,0.0279,0.176
0.142103,-0.1433,-0.1332,0.0475,0.201
0.156053,-0.1243,-0.1040,0.1597,0.227
0.172015,-0.0664,-0.1891,0.2805,0.345
0.187071,0.0106,-0.1509,0.2378,0.282
0.201921,-0.0180,-0.0985,0.2363,0.257
0.215308,-0.0713,-0.1065,0.2957,0.322
0.228994,-0.0436,-0.0822,0.2590,0.275
0.244430,-0.0404,-0.0478,0.2651,0.272
0.264965,-0.0211,-0.0707,0.2530,0.264
0.272288,-0.0496,-0.1123,0.2889,0.314
0.288485,-0.0636,-0.1549,0.2784,0.325
0.302686,-0.1108,-0.1743,0.2202,0.302
0.317116,-0.1193,-0.1266,0.1804,0.251
0.330409,-0.0995,-0.0877,0.1835,0.226
0.347655,-0.0896,-0.0623,0.2285,0.253
0.361392,-0.0941,-0.0997,0.2649,0.298
0.374621,-0.0600,-0.1321,0.2833,0.318
0.390553,-0.0303,-0.1510,0.2446,0.289
0.403752,-0.0387,-0.1083,0.2389,0.265
0.420247,-0.0665,-0.1031,0.2380,0.268
0.431402,-0.0756,-0.1026,0.2414,0.273
0.448150,-0.0659,-0.0875,0.2439,0.267
0.461287,-0.0363,-0.1102,0.2907,0.313
0.474936,-0.0495,-0.1290,0.2994,0.330
0.491746,-0.0767,-0.1480,0.2706,0.318
0.506891,-0.1047,-0.1575,0.2659,0.326
0.521946,-0.1527,-0.1388,0.2704,0.340
0.536297,-0.1814,-0.1292,0.2265,0.318
0.550480,-0.1236,-0.1003,0.2023,0.257
0.563042,-0.0427,-0.1000,0.2209,0.246
0.577744,-0.0862,-0.1661,0.2484,0.311
0.591241,-0.0770,-0.1753,0.2957,0.352
0.608186,-0.0818,-0.1274,0.2617,0.302
0.622838,-0.0350,-0.1269,0.3240,0.350
0.635778,-0.0630,-0.0993,0.2185,0.248
0.651994,-0.0583,-0.1271,0.2565,0.292
0.663763,-0.0584,-0.0849,0.1352,0.170
0.680160,-0.0922,-0.0560,0.1036,0.150
0.694628,-0.1123,-0.0865,0.2874,0.320
0.708165,-0.0458,-0.1235,0.3288,0.354
0.724306,-0.0219,-0.1376,0.3041,0.335
0.739304,-0.0271,-0.1144,0.2564,0.282
0.752817,-0.0560,-0.1151,0.1554,0.201
0.768281,-0.0802,-0.1057,0.1447,0.196
0.781450,-0.0996,-0.0858,0.1568,0.205
0.794864,-0.0760,-0.1127,0.2203,0.259
0.810151,-0.0758,-0.1390,0.2939,0.334
0.824229,-0.0707,-0.1764,0.3346,0.385
0.840629,-0.0760,-0.1570,0.3338,0.377
0.855594,-0.0803,-0.1098,0.2282,0.266
0.868506,-0.0661,-0.0674,0.1607,0.186
0.883783,-0.0758,-0.1149,0.1458,0.201
0.896495,-0.0567,-0.1520,0.2454,0.294
0.911463,-0.0374,-0.1229,0.2348,0.268
0.926570,-0.0569,-0.1268,0.3105,0.340
0.941299,-0.0896,-0.1412,0.2867,0.332
0.954820,-0.0807,-0.1365,0.3063,0.345
0.970836,-0.0416,-0.1323,0.2792,0.312
0.985632,-0.0651,-0.1241,0.2235,0.264
0.998859,-0.0695,-0.1206,0.1776,0.226
1.013388,-0.0838,-0.1163,0.1646,0.218
1.026813,-0.0599,-0.1165,0.1557,0.203
1.044511,-0.0695,-0.0877,0.1842,0.216
1.057392,-0.0938,-0.0826,0.2313,0.263
1.072311,-0.0842,-0.0817,0.2495,0.276
1.087975,-0.0787,-0.1053,0.2389,0.273
1.101046,-0.0837,-0.1144,0.2281,0.269
1.114130,-0.0886,-0.0619,0.1927,0.221
1.129313,-0.0937,-0.0614,0.1863,0.217
1.144137,-0.0653,-0.1086,0.1755,0.216
1.163180,-0.0415,-0.1406,0.2021,0.250
1.175217,-0.0270,-0.1493,0.2186,0.266
1.189888,-0.0409,-0.1196,0.2113,0.246
1.204331,-0.0497,-0.0904,0.1983,0.223
1.219121,-0.0636,-0.0981,0.2429,0.270
1.230549,-0.0446,-0.1155,0.2780,0.304
1.246207,-0.0683,-0.1240,0.2846,0.318
1.263033,-0.0969,-0.1141,0.2580,0.298
1.274720,-0.1011,-0.1178,0.2262,0.274
1.290642,-0.0532,-0.1071,0.2134,0.245
1.305089,-0.0531,-0.0872,0.1522,0.183
1.319968,-0.0818,-0.0805,0.1661,0.202
1.335724,-0.1065,-0.1114,0.2371,0.283
1.348391,-0.0875,-0.1235,0.2903,0.327
1.363675,-0.0683,-0.0936,0.2434,0.270
1.377046,-0.0104,-0.0831,0.2408,0.255
1.390757,0.0195,-0.0926,0.2014,0.223
1.407276,0.0107,-0.1344,0.1855,0.229
1.422305,-0.0076,-0.1388,0.1255,0.187
1.434649,-0.0352,-0.1043,0.1023,0.150
1.452295,-0.0962,-0.1063,0.1773,0.228
1.465191,-0.0999,-0.1465,0.2580,0.313
1.480479,-0.0559,-0.1348,0.3260,0.357
1.495419,-0.0399,-0.0908,0.2906,0.307
1.509159,-0.0475,-0.0957,0.2129,0.238
1.522919,-0.0703,-0.1007,0.1148,0.168
1.539042,-0.0742,-0.1223,0.1484,0.206
1.551793,-0.0883,-0.1194,0.2479,0.289
1.566927,-0.0826,-0.1450,0.3631,0.400
1.580943,-0.0768,-0.1390,0.3696,0.402
1.593560,-0.0853,-0.1199,0.3007,0.335
1.610807,-0.1225,-0.0873,0.1849,0.238
1.624333,-0.1401,-0.0497,0.0683,0.164
1.639398,-0.1686,-0.0198,0.0701,0.184
1.655512,-0.1584,-0.0791,0.1428,0.227
1.670274,-0.1103,-0.1762,0.3406,0.399
1.685301,-0.1051,-0.1760,0.2907,0.356
1.697397,-0.0999,-0.1563,0.2748,0.331
1.712223,-0.0516,-0.1079,0.2394,0.268
1.725985,0.0164,-0.1035,0.2005,0.226
1.741386,0.0601,-0.0880,0.1952,0.222
1.754287,0.0895,-0.1162,0.1700,0.225
1.770986,0.0809,-0.0970,0.1062,0.165
1.786362,0.0724,-0.0775,0.0747,0.130
1.798850,0.0403,-0.0996,0.1339,0.172
1.812183,0.0326,-0.1408,0.2225,0.265
1.826212,0.0100,-0.1154,0.3116,0.332
1.842079,-0.0695,-0.0870,0.2533,0.277
1.857180,-0.1111,-0.0449,0.1329,0.179
1.871317,-0.1242,-0.0353,0.0687,0.146
1.888659,-0.1856,-0.0583,0.1095,0.223
1.902215,-0.1711,-0.1232,0.1754,0.274
1.915109,-0.1909,-0.1793,0.2361,0.353
1.930846,-0.2218,-0.1691,0.2906,0.403
1.942745,-0.2495,-0.1630,0.3258,0.442
1.956974,-0.1734,-0.1440,0.2275,0.320
1.976578,-0.0539,-0.1065,0.0764,0.142
1.989416,-0.0054,-0.1101,0.0885,0.141
2.003803,-0.0173,-0.1425,0.1486,0.207
2.017985,-0.1291,-0.1137,0.1845,0.252
2.031845,-0.1783,-0.0883,0.2392,0.311
2.046521,-0.1375,-0.0633,0.2834,0.321
2.066156,-0.0975,-0.0615,0.2937,0.316
2.073399,-0.0247,-0.0987,0.2761,0.294
2.090629,0.0289,-0.1218,0.2254,0.258
2.105577,0.0824,-0.0974,0.1889,0.228
2.118272,0.0602,-0.0924,0.2066,0.234
2.134734,0.0532,-0.1020,0.2111,0.240
2.148906,0.0461,-0.0935,0.1542,0.186
2.164368,0.0290,-0.0842,0.1253,0.154
2.176484,0.0262,-0.0697,0.2010,0.214
2.190676,0.0183,-0.0791,0.2300,0.244
2.206650,-0.0219,-0.1040,0.2273,0.251
2.221852,-0.0611,-0.0920,0.1392,0.178
2.234484,-0.1198,-0.0454,0.0580,0.141
2.250817,-0.1748,-0.0404,0.1096,0.210
2.265104,-0.1381,-0.1015,0.1512,0.229
2.277699,-0.1171,-0.1102,0.1983,0.255
2.297679,-0.1716,-0.0729,0.1361,0.231
2.308885,-0.1252,-0.1307,0.2252,0.289
2.321996,-0.1689,-0.1747,0.3316,0.411
2.336820,-0.2410,-0.1275,0.1918,0.333
2.350701,-0.1991,-0.0556,0.1303,0.244
2.365574,-0.0436,-0.1244,0.2695,0.300
2.381328,0.0810,-0.1695,0.3595,0.406
2.392844,0.1002,-0.1870,0.3668,0.424
2.411100,0.0339,-0.1238,0.3261,0.350
2.424350,-0.0454,-0.0571,0.1801,0.194
2.438213,-0.0856,-0.0419,0.1051,0.142
2.454446,-0.0678,-0.1151,0.1395,0.193
2.469388,-0.0307,-0.1731,0.2068,0.271
