time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002827,0.3456,-0.0907,0.8072,0.883
0.012132,-0.8285,0.5807,-3.3898,3.538
0.030866,0.1673,-0.0738,1.8845,1.893
0.042645,-0.1425,0.1028,0.0833,0.194
0.056420,-0.1160,0.0783,-0.0958,0.170
0.071709,-0.1478,-0.2173,0.6156,0.669
0.087076,-0.2685,-0.1766,0.3322,0.462
0.100696,-0.2275,-0.0875,0.1031,0.265
0.116241,-0.1865,-0.0970,0.1227,0.243
0.130829,-0.1546,-0.0683,0.1087,0.201
0.144641,-0.0466,-0.0438,0.2135,0.223
0.159365,0.0371,0.0239,0.2840,0.287
0.174236,0.0287,0.0808,0.2484,0.263
0.186332,-0.0269,0.0611,0.1797,0.192
0.203133,-0.0639,0.0371,0.1063,0.129
0.218528,-0.0388,0.0132,0.1333,0.139
0.232129,-0.0233,-0.0388,0.1471,0.154
0.245944,-0.0414,-0.0723,0.1620,0.182
0.260782,-0.0692,-0.0867,0.1622,0.197
0.274093,-0.0636,-0.0771,0.1239,0.159
0.290093,-0.0677,-0.0669,0.2726,0.289
0.304281,-0.0195,-0.0053,0.1928,0.194
0.320188,0.0048,0.0228,0.1323,0.134
0.332773,-0.0332,0.0000,0.2381,0.240
0.349533,-0.0476,-0.0341,0.1867,0.196
0.361410,-0.0430,-0.0533,0.1316,0.148
0.376479,-0.0861,-0.0724,0.1898,0.221
0.392862,-0.0525,-0.0287,0.2797,0.286
0.406604,-0.0146,0.0245,0.3985,0.400
0.421677,-0.0099,0.0922,0.4643,0.473
0.435201,-0.0091,0.1443,0.4159,0.440
0.448672,-0.0169,0.1580,0.3191,0.357
0.464172,-0.0398,0.1090,0.2159,0.245
0.478326,-0.0626,0.0097,0.2657,0.273
0.492807,-0.0752,-0.1237,0.3359,0.366
0.513583,-0.1120,-0.1901,0.3308,0.398
0.522951,-0.1151,-0.1907,0.2641,0.346
0.536265,-0.1038,-0.1674,0.2183,0.294
0.551568,-0.0922,-0.1387,0.2060,0.265
0.566316,-0.0759,-0.1004,0.2379,0.269
0.579619,0.0026,-0.0191,0.2741,0.275
0.595349,0.0800,0.0389,0.3543,0.365
0.612761,0.1144,0.0867,0.3583,0.386
0.623060,0.0961,0.0717,0.3103,0.333
0.639142,0.1108,0.0244,0.3204,0.340
0.653908,0.0879,0.0088,0.1917,0.211
0.666954,0.0166,-0.0254,0.1106,0.115
0.682901,-0.0163,-0.1290,0.3084,0.335
0.696554,-0.0725,-0.1584,0.2742,0.325
0.714736,-0.0996,-0.1633,0.2659,0.328
0.726830,-0.0930,-0.0886,0.0663,0.145
0.739668,-0.0204,0.0293,-0.0783,0.086
0.755318,-0.0259,0.0639,0.1020,0.123
0.768699,-0.0263,0.0214,0.1597,0.163
0.784762,-0.0317,-0.0254,0.2579,0.261
0.797159,-0.0804,-0.0631,0.3586,0.373
0.813041,-0.0952,-0.1499,0.3203,0.366
0.828920,-0.1091,-0.1128,0.1634,0.227
0.843051,-0.0137,-0.0421,0.0210,0.049
0.857066,0.0577,0.0340,0.0056,0.067
0.870359,0.1768,0.0927,0.1376,0.242
0.885532,0.2193,0.1503,0.1777,0.320
0.900917,0.1895,0.1122,0.2084,0.303
0.915077,0.1023,0.0638,0.1451,0.189
0.927743,0.0911,-0.0252,0.3052,0.319
0.944652,0.1370,-0.0867,0.3332,0.371
0.958863,0.0692,-0.1266,0.1691,0.222
0.974467,-0.0421,-0.1360,0.1568,0.212
0.988123,-0.1352,-0.0784,0.2949,0.334
1.002535,-0.0744,-0.0441,0.3512,0.362
1.017775,-0.0182,-0.0385,0.4317,0.434
1.031002,0.0584,-0.0706,0.5433,0.551
1.045552,0.0105,-0.0381,0.4687,0.470
1.060281,-0.1131,0.0699,0.2304,0.266
1.074240,-0.1423,0.1306,0.0566,0.201
1.089491,-0.1100,0.0877,0.0248,0.143
1.104692,-0.0584,0.0506,0.1491,0.168
1.119025,0.0172,0.0651,0.1202,0.138
1.133270,0.0646,0.0132,0.1549,0.168
1.147998,0.0778,-0.0393,0.1663,0.188
1.161016,0.0007,-0.0152,0.1584,0.159
1.175655,-0.0811,0.1077,0.0402,0.141
1.191361,-0.1191,0.1887,0.0024,0.223
1.206412,0.0242,0.1320,0.0649,0.149
1.221453,0.1387,0.0135,0.0885,0.165
1.234664,0.1620,-0.1522,0.2127,0.308
1.251000,0.1032,-0.2472,0.2414,0.361
1.263455,0.0114,-0.2285,0.2372,0.330
1.276832,-0.1188,-0.1049,0.1768,0.237
1.291325,-0.0858,-0.0155,-0.0108,0.088
1.312211,-0.0336,0.1308,-0.2113,0.251
1.321835,0.0360,0.0801,-0.0626,0.108
1.335213,0.0108,-0.0007,-0.0019,0.011
1.352400,-0.0771,-0.1053,0.0730,0.150
1.364930,-0.1985,-0.0256,-0.0740,0.213
1.379643,-0.1752,0.0091,0.1030,0.203
1.394843,-0.1188,-0.0137,0.2324,0.261
1.411972,-0.1037,0.0384,0.1517,0.188
1.423416,-0.0980,0.0666,0.1042,0.158
1.439079,-0.1732,0.0086,0.0289,0.176
1.452782,-0.0753,-0.1010,-0.0189,0.127
