time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003049,0.0410,0.0583,-0.2032,0.215
0.013862,-0.2822,-0.1650,0.0374,0.329
0.031799,0.2267,-0.0920,0.1046,0.266
0.042622,0.0796,0.0894,0.1110,0.163
0.058033,-0.0431,0.0235,0.3054,0.309
0.073850,-0.1173,-0.0154,0.2372,0.265
0.086847,-0.0616,-0.0495,0.1125,0.137
0.104843,-0.0448,-0.0632,0.1998,0.214
0.116681,-0.0381,-0.0344,0.2202,0.226
0.130358,-0.0641,-0.0008,0.1940,0.204
0.145365,-0.0559,-0.0110,0.1574,0.167
0.158424,-0.0533,-0.0540,0.1490,0.167
0.174918,-0.0314,-0.0869,0.1685,0.192
0.189500,-0.0568,-0.0869,0.2173,0.241
0.202937,-0.0487,-0.0671,0.2765,0.289
0.219524,-0.0151,-0.0102,0.1872,0.188
0.234051,-0.0398,0.0085,0.1891,0.193
0.248571,-0.0155,-0.0190,0.2871,0.288
0.261711,0.0282,-0.0333,0.2764,0.280
0.275334,0.0109,-0.0242,0.1670,0.169
0.290297,-0.0400,-0.0103,0.1431,0.149
0.306386,-0.0188,-0.0198,0.1589,0.161
0.319415,0.0554,-0.0244,0.1220,0.136
0.336249,0.0396,-0.0386,0.1422,0.153
0.348809,0.0436,-0.0618,0.1818,0.197
0.362411,0.0488,-0.0719,0.0971,0.130
0.377256,0.0248,-0.1005,0.1268,0.164
0.398243,0.0154,-0.1339,0.1409,0.195
0.407158,0.1117,-0.2050,0.1509,0.278
0.422074,0.0604,-0.2427,0.2116,0.328
0.434553,0.2150,-0.2845,0.3168,0.477
0.452214,0.2595,-0.1509,0.2821,0.412
0.464729,0.2978,0.0031,0.4539,0.543
0.482061,0.3692,0.1829,0.8049,0.904
0.494450,0.4478,0.2401,0.1638,0.534
0.508130,0.4339,0.1033,0.3169,0.547
0.521976,0.5030,-0.0723,0.3488,0.616
0.538827,0.4105,-0.1345,0.3071,0.530
0.553559,0.3523,-0.0895,0.5011,0.619
0.566567,0.2512,0.1208,0.5908,0.653
0.581709,0.0996,0.3198,0.3656,0.496
0.595966,0.0346,0.3370,-0.0345,0.341
0.609649,0.0079,0.1925,-0.2796,0.340
0.625064,-0.0203,-0.0253,-0.1309,0.135
0.639063,-0.0290,-0.1804,0.1195,0.218
0.655045,-0.0188,-0.2361,0.2356,0.334
0.669360,0.1246,-0.2294,0.3671,0.450
0.680828,0.2202,-0.2005,0.2705,0.402
0.696533,0.2474,-0.1475,0.2764,0.399
0.711259,0.2566,-0.1188,0.0968,0.299
0.725691,0.3612,-0.0238,-0.0928,0.374
0.741097,0.1703,0.1866,-0.0445,0.257
0.756621,0.1209,-0.0412,0.0490,0.137
0.769626,0.0957,-0.1493,0.1555,0.236
0.786017,0.2481,-0.1814,0.1910,0.362
0.798000,0.3720,-0.1122,0.3547,0.526
0.819658,0.4839,-0.0333,0.5050,0.700
0.832993,0.4518,0.1577,0.4208,0.637
0.847599,0.2970,0.2666,0.2155,0.454
0.861032,0.0709,0.3574,0.1970,0.414
0.874996,-0.0398,0.3060,0.3148,0.441
0.895643,-0.2705,0.2504,0.5785,0.686
0.906417,-0.2448,0.2790,0.4739,0.602
0.919578,0.0524,0.3036,0.3712,0.482
0.935459,-0.0843,0.2392,0.0116,0.254
0.950598,-0.0392,0.1049,-0.2255,0.252
0.962390,-0.0558,-0.0666,-0.3155,0.327
0.977668,-0.0618,-0.2306,-0.0308,0.241
0.995403,0.0165,-0.0806,0.2593,0.272
1.008397,0.0803,-0.0035,0.2156,0.230
1.023402,0.1927,-0.0461,0.1883,0.273
1.036641,0.2611,-0.0599,0.1893,0.328
1.052075,0.2821,-0.0263,0.0865,0.296
1.064658,0.2746,0.0259,-0.0603,0.282
1.078667,0.2568,0.0444,-0.1804,0.317
1.095254,0.3114,0.0202,-0.2829,0.421
1.109530,0.3849,-0.0556,-0.2719,0.475
1.122941,0.3966,-0.2207,-0.0421,0.456
1.139451,0.3658,-0.3762,0.1763,0.554
1.153603,0.4214,-0.4330,0.2018,0.637
1.168632,0.3667,-0.3426,0.2295,0.552
1.182340,0.2937,-0.2952,0.2043,0.464
1.196242,0.1544,-0.2674,0.0776,0.318
1.211615,0.0190,0.0181,0.0084,0.028
1.225564,0.0404,0.4190,-0.0666,0.426
1.239972,0.1213,0.6147,-0.0435,0.628
1.255812,0.0849,0.4539,0.1897,0.499
1.270405,-0.0527,0.1411,0.5484,0.569
1.282251,-0.4446,-0.1575,0.9180,1.032
1.298445,-0.9635,-0.4774,0.9405,1.429
1.313591,-1.4230,-0.8699,0.7189,1.816
1.325479,-1.7244,-1.0765,0.2852,2.053
1.341366,-1.6608,-0.5931,0.0651,1.765
1.356609,-1.0858,0.6342,0.2806,1.288
1.370136,-0.5295,1.9089,0.6084,2.072
1.386290,-0.0590,2.4672,0.7848,2.590
1.398626,0.4180,2.2665,1.0054,2.515
1.414354,0.6049,1.6972,1.0719,2.096
1.429918,0.5474,1.0999,0.7204,1.424
1.441722,0.4995,0.4706,0.4905,0.844
1.457605,0.1436,0.1050,0.4707,0.503
1.473047,0.1488,-0.1209,0.5098,0.545
1.489321,-0.2458,-0.2204,0.3298,0.467
1.501547,-0.2168,-0.3291,0.5777,0.699
1.517722,-0.5377,-0.3549,0.5877,0.872
1.531646,-0.6079,-0.3417,0.5574,0.893
1.546446,-0.6322,-0.0916,1.0029,1.189
1.558266,-0.2963,-0.0300,0.9390,0.985
1.574220,-0.2312,-0.0211,0.9382,0.967
1.590433,-0.1408,-0.1135,0.7776,0.798
1.601805,-0.0839,-0.2355,0.5061,0.564
1.618463,-0.1428,-0.4171,0.6766,0.808
