time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003392,0.2478,-0.0824,-0.1085,0.283
0.017549,0.1720,0.5207,-2.4647,2.525
0.033908,-0.0191,-0.2910,0.4864,0.567
0.048892,-0.2753,-0.4247,0.4615,0.685
0.062764,-0.2060,-0.1504,0.0542,0.261
0.075625,-0.1004,-0.0800,0.4284,0.447
0.091561,-0.0554,-0.0340,0.1989,0.209
0.104733,-0.0680,-0.0403,0.0330,0.086
0.121423,-0.0768,-0.0369,-0.1091,0.138
0.133597,-0.1099,0.0158,-0.0194,0.113
0.150383,-0.1228,0.0405,0.0696,0.147
0.162997,-0.0970,-0.0061,0.1640,0.191
0.177493,-0.1050,-0.0348,0.1971,0.226
0.193308,-0.0846,-0.0204,0.1588,0.181
0.207373,-0.0733,-0.0450,0.0921,0.126
0.220821,-0.0439,-0.1019,0.0830,0.139
0.237533,-0.0287,-0.1588,0.1366,0.211
0.250928,-0.0233,-0.1165,0.0516,0.130
0.264022,0.0059,-0.0263,0.0333,0.043
0.279367,-0.0326,-0.0115,0.1538,0.158
0.294193,-0.0701,-0.0398,0.2277,0.242
0.310036,-0.0397,-0.0648,0.1649,0.182
0.327760,0.0048,-0.0415,0.1080,0.116
0.336984,0.0490,-0.0318,0.1801,0.189
0.353631,0.0789,-0.0468,0.1624,0.187
0.368190,0.0423,-0.0433,0.1249,0.139
0.379677,0.0102,-0.0200,0.1647,0.166
0.396024,0.0031,-0.0206,0.2087,0.210
0.410466,0.0111,-0.0446,0.2192,0.224
0.427305,0.0154,-0.0788,0.2209,0.235
0.440134,0.0482,-0.0754,0.1603,0.184
0.455691,0.0481,-0.0618,0.1665,0.184
0.470195,0.0246,-0.0818,0.1986,0.216
0.484674,0.0636,-0.0966,0.2647,0.289
0.496473,0.1025,-0.0970,0.3030,0.334
0.512705,0.0748,-0.0897,0.2312,0.259
0.527551,0.0282,-0.1146,0.2068,0.238
0.540263,0.0297,-0.1067,0.1729,0.205
0.556159,0.0412,-0.0885,0.1865,0.211
0.570883,0.0336,-0.0800,0.1678,0.189
0.586203,0.0741,-0.0571,0.1780,0.201
0.600298,0.0671,-0.0683,0.1353,0.166
0.614562,-0.0116,-0.0262,0.2062,0.208
0.627974,-0.0190,-0.0121,0.3152,0.316
0.643734,-0.0159,-0.0459,0.4045,0.407
0.656104,-0.0416,0.0113,0.4740,0.476
0.672797,-0.0619,0.0290,0.4298,0.435
0.687112,-0.0287,-0.0299,0.3384,0.341
0.699470,-0.0057,-0.0458,0.2854,0.289
0.716329,-0.0875,-0.0522,0.2528,0.273
0.729478,-0.2024,-0.0876,0.1954,0.295
0.742830,-0.2656,-0.1280,0.1319,0.323
0.759925,-0.2767,-0.1494,0.0956,0.329
0.780347,-0.2779,-0.1321,0.0958,0.322
0.788295,-0.3069,-0.1298,0.0831,0.343
0.804602,-0.3347,-0.0893,0.0251,0.347
0.816624,-0.3332,-0.0441,0.0277,0.337
0.833614,-0.3463,-0.0989,0.0062,0.360
0.846754,-0.3398,-0.2022,-0.0662,0.401
0.859790,-0.4106,-0.2753,0.0460,0.496
0.877351,-0.4437,-0.2272,0.3737,0.623
0.890437,-0.2764,-0.0974,0.6985,0.757
0.903996,-0.2436,0.0948,1.0333,1.066
0.920723,-0.2748,0.2765,1.2071,1.268
0.933470,-0.4743,0.3649,1.1636,1.308
0.950023,-0.5939,0.3679,1.0440,1.256
0.963306,-0.6998,0.3095,0.9775,1.241
0.976711,-0.9681,0.2219,0.8916,1.335
0.993328,-0.9916,-0.0410,0.8738,1.322
1.006036,-1.0594,-0.2519,0.7393,1.316
1.019341,-1.0802,-0.3911,0.7038,1.347
1.036588,-0.9688,-0.4245,0.7441,1.293
1.051256,-0.7333,-0.4107,0.6686,1.074
1.064531,-0.5603,-0.3687,0.6035,0.902
1.080207,-0.5466,-0.2405,0.5573,0.817
1.093221,-0.5053,-0.1937,0.5466,0.769
1.108212,-0.3421,-0.2737,0.6764,0.806
1.122834,-0.2731,-0.2645,0.6906,0.788
1.136208,-0.0051,-0.3545,0.7350,0.816
1.152659,-0.2549,-0.2895,0.6408,0.748
1.167679,-0.4625,-0.3135,0.7412,0.928
1.179424,-0.5560,-0.3596,0.9517,1.159
1.195119,-0.6985,-0.3356,1.0751,1.325
1.209475,-0.8317,-0.2835,1.0929,1.402
1.223890,-0.9378,-0.2354,1.1243,1.483
