time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006762,0.0862,-0.1105,0.1031,0.174
0.020995,0.0935,-0.1155,0.0959,0.177
0.035487,-0.0753,-0.0128,-0.0850,0.114
0.049988,0.0374,0.0314,0.0262,0.055
0.064394,0.0012,-0.0261,0.0654,0.070
0.078576,0.0122,-0.0255,0.0945,0.099
0.092652,-0.0060,-0.0064,0.1523,0.153
0.107377,0.0234,-0.0255,0.0713,0.079
0.122900,0.0001,-0.0118,0.0562,0.057
0.137101,0.0104,-0.0537,0.1335,0.144
0.151830,-0.0465,-0.0394,0.2451,0.253
0.166515,-0.0611,-0.0121,0.1045,0.122
0.180060,-0.1042,-0.0608,-0.0461,0.129
0.194870,-0.1346,-0.0739,0.1164,0.193
0.209529,-0.0975,-0.0056,0.3067,0.322
0.224357,-0.0345,-0.0118,0.1319,0.137
0.239019,-0.0141,-0.0323,-0.0522,0.063
0.253569,-0.0275,-0.0514,-0.0377,0.069
0.267969,-0.0608,-0.0830,0.2038,0.228
0.281875,-0.0405,-0.0446,0.2082,0.217
0.297721,-0.0776,0.0020,0.0696,0.104
0.310737,-0.0858,0.0685,0.0629,0.127
0.329560,-0.0560,0.0454,0.0696,0.100
0.340680,-0.0696,-0.0214,0.1001,0.124
0.354998,-0.0404,-0.1062,0.1459,0.185
0.369835,0.0038,-0.1252,0.1440,0.191
0.384773,0.0145,-0.0922,0.0762,0.120
0.397852,0.0108,-0.0257,-0.0067,0.029
0.412671,-0.0804,0.1264,-0.0241,0.152
0.431041,-0.1302,0.1217,-0.0303,0.181
0.441759,-0.0810,0.1075,0.0008,0.135
0.456538,-0.0461,0.0037,0.0269,0.054
0.471233,-0.0483,-0.1481,0.1009,0.186
0.485936,-0.0464,-0.1856,0.1565,0.247
0.499744,-0.0783,-0.1102,0.0990,0.168
0.517004,-0.1188,-0.0350,-0.0337,0.128
0.546523,-0.1828,0.0074,-0.0662,0.195
0.547079,-0.1602,0.0266,-0.0572,0.172
0.557528,-0.1088,0.0459,-0.0497,0.128
0.572615,-0.0849,0.0174,-0.1007,0.133
0.587324,-0.0521,0.0040,-0.0805,0.096
0.602276,-0.0390,0.0235,-0.0238,0.051
0.616446,0.0036,0.0102,0.0275,0.030
0.630540,0.0327,-0.0461,0.0503,0.076
0.646423,0.0446,-0.1026,0.0641,0.129
0.660027,0.0377,-0.1118,0.0927,0.150
0.673985,-0.0649,-0.0732,0.0886,0.132
0.688956,-0.0482,0.0174,0.0517,0.073
0.703941,0.0299,0.0745,0.0001,0.080
0.718788,0.0849,0.0658,0.0300,0.112
0.732135,0.1127,-0.0284,0.1181,0.166
0.746841,0.1419,-0.0899,0.2260,0.282
0.761308,0.1492,-0.0527,0.0280,0.161
0.775604,0.0803,-0.1160,-0.1178,0.184
0.790905,-0.0846,-0.0713,0.0872,0.141
0.805317,-0.7020,0.0744,1.9976,2.119
0.819765,-0.1710,-0.0004,-0.4632,0.494
0.834240,-0.0836,0.0709,-0.3894,0.405
0.848891,-0.0208,-0.0300,0.0353,0.051
0.862716,-0.0795,-0.3233,0.4352,0.548
0.877283,-0.3416,-0.0367,0.0004,0.344
0.891713,-0.1567,0.0531,-0.0401,0.170
0.906948,-0.0961,-0.0787,0.1355,0.184
0.921396,0.0033,-0.0788,0.1703,0.188
0.936173,-0.1165,0.0534,0.0115,0.129
0.950510,-0.0336,0.0722,-0.1103,0.136
0.965594,-0.1181,0.0249,-0.1179,0.169
0.979645,-0.3705,0.0526,-0.1864,0.418
0.993929,-0.6720,0.1301,-0.0593,0.687
1.008814,-0.6240,0.1300,-0.1617,0.658
1.023414,-0.6822,-0.1234,0.3675,0.785
1.038007,-0.5491,0.0899,0.1974,0.590
1.052526,0.2551,0.0748,-0.1213,0.292
1.067416,0.7967,-0.1539,-0.2539,0.850
1.080918,0.9831,-0.1798,0.0811,1.003
1.095548,0.9454,0.1480,-0.0551,0.958
1.112017,0.9226,-0.0085,0.0052,0.923
1.125905,0.5681,-0.0162,0.3353,0.660
1.140180,0.4365,-0.0676,0.3748,0.579
1.154708,0.3429,-0.0526,0.4445,0.564
1.168335,0.2690,-0.1110,0.3213,0.434
1.182701,0.0638,0.0220,0.2501,0.259
1.197372,-0.0709,-0.0065,0.3105,0.319
1.211759,-0.0556,-0.0387,0.4197,0.425
1.226375,0.2356,-0.0943,0.5503,0.606
1.241513,0.4389,-0.0999,0.4048,0.605
1.256161,0.3977,-0.0678,0.2198,0.459
1.270547,0.2280,-0.0834,0.1807,0.303
1.285630,0.1025,-0.1585,0.3165,0.368
1.299867,-0.0357,-0.1857,0.4989,0.533
