time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003386,-0.1022,-0.0121,-0.1956,0.221
0.012602,-0.0311,0.0219,-0.2771,0.280
0.036692,-0.0429,0.0101,-0.2675,0.271
0.043707,0.0454,-0.0088,-0.2620,0.266
0.057352,0.0469,-0.0437,0.0117,0.065
0.073114,0.0815,-0.0286,0.1466,0.170
0.087016,-0.3804,0.1670,0.3348,0.534
0.101381,-0.0885,-0.2294,-0.1015,0.266
0.114709,-0.0871,-0.2058,0.1714,0.282
0.129113,0.0495,-0.1048,0.0798,0.141
0.144552,0.0142,0.0321,-0.1520,0.156
0.158381,-0.1021,0.1126,0.0868,0.175
0.172293,0.0654,0.0311,0.4046,0.411
0.188857,-0.0024,-0.0687,0.4002,0.406
0.202684,-0.0499,-0.1186,0.2133,0.249
0.218637,0.0043,0.0069,0.0250,0.026
0.231461,-0.0193,0.1386,-0.1877,0.234
0.247355,0.0445,0.1425,-0.0731,0.166
0.260706,0.1363,0.0444,-0.0578,0.155
0.274472,0.0972,-0.1758,0.0827,0.217
0.289136,0.1641,-0.2477,0.3375,0.450
0.305271,0.1151,-0.2123,0.2122,0.322
0.319716,0.1045,-0.1072,-0.1009,0.180
0.332209,-0.0293,-0.0202,-0.5528,0.554
0.348234,-0.0893,0.0578,-0.6976,0.706
0.362785,-0.1294,0.1048,0.1021,0.195
0.377735,-0.2453,-0.0205,0.5821,0.632
0.401364,-0.2725,-0.0917,0.8317,0.880
0.406819,-0.0349,-0.1496,0.4212,0.448
0.420307,0.1564,-0.1221,-0.3694,0.419
0.436024,0.2389,-0.1931,-0.3204,0.444
0.448955,0.1208,-0.0498,-0.2456,0.278
0.464811,-0.0811,0.0693,-0.1947,0.222
0.477695,-0.1381,0.0285,-0.2185,0.260
0.491521,-0.2176,0.2586,-0.3261,0.470
0.507959,0.2083,0.1535,-0.3331,0.422
0.524061,0.0741,0.1217,-0.1564,0.212
0.535754,-0.0389,0.1084,-0.0125,0.116
0.553246,0.0199,0.0146,0.0512,0.057
0.563978,0.0389,-0.0052,0.0563,0.069
