time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002492,0.2582,0.0402,-0.1235,0.289
0.015172,0.2881,0.0751,0.0338,0.300
0.028796,0.5555,-0.1561,0.2960,0.649
0.044210,-0.0932,-0.1543,-0.2798,0.333
0.059523,-0.0366,-0.1147,-0.0666,0.138
0.072684,-0.0140,-0.0661,-0.0006,0.068
0.088881,-0.0029,-0.0131,0.0789,0.080
0.102057,0.0268,0.0061,0.0691,0.074
0.118051,0.0752,-0.0078,0.0888,0.117
0.131634,0.0647,-0.0122,0.1625,0.175
0.145875,0.0600,-0.0474,0.0498,0.091
0.160669,0.0981,0.0135,-0.0840,0.130
0.175190,0.0887,0.0059,0.0829,0.122
0.189302,0.0557,-0.0373,0.0880,0.111
0.204520,0.0608,-0.0249,-0.0930,0.114
0.219886,0.0895,0.0046,-0.0840,0.123
0.232585,0.1564,0.0103,-0.0236,0.159
0.247405,0.1131,0.0059,-0.0162,0.114
0.262703,0.1030,0.0015,0.0250,0.106
0.283115,0.1407,0.0064,-0.0191,0.142
0.292606,0.1020,0.0103,-0.0970,0.141
0.306360,0.1252,0.0349,-0.1099,0.170
0.321554,0.1534,0.0407,-0.1105,0.193
0.335980,0.1385,-0.0053,-0.1127,0.179
0.348177,0.1243,-0.0230,-0.0714,0.145
0.365011,0.1147,-0.0355,-0.0448,0.128
0.382925,0.0952,-0.0199,-0.0469,0.108
0.393331,0.1473,0.0478,-0.0723,0.171
0.409633,0.1712,0.0352,-0.0448,0.180
0.423411,0.2969,0.0321,0.0076,0.299
0.437859,0.4006,0.0438,0.0658,0.408
0.452799,0.4362,-0.0040,0.0148,0.437
0.465881,0.1772,0.1423,-0.2069,0.307
0.482867,-0.2455,0.1473,-0.2591,0.386
0.495689,-0.5102,0.0348,-0.1850,0.544
0.509218,-0.1499,-0.2052,0.3308,0.417
0.524826,0.1380,-0.2973,0.3568,0.485
0.538354,0.1299,-0.1886,0.1530,0.275
