time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004380,0.2255,0.0021,0.0533,0.232
0.020553,0.2654,0.0368,0.1928,0.330
0.034915,0.2346,-0.1113,0.2305,0.347
0.049287,-0.1256,-0.1867,-0.0624,0.233
0.063121,0.1331,-0.1187,0.0464,0.184
0.077978,0.1368,-0.0464,0.1000,0.176
0.092755,0.1556,-0.0604,0.1978,0.259
0.107924,0.1310,-0.0225,0.2161,0.254
0.120915,0.1506,0.0519,0.0623,0.171
0.137061,0.2224,0.0180,0.0236,0.224
0.152288,0.1943,-0.0582,0.0596,0.211
0.163558,0.1526,-0.0865,0.0897,0.197
0.179700,0.1306,-0.0771,0.1157,0.191
0.194186,0.1329,-0.0684,0.0851,0.172
0.208327,0.1498,-0.0304,0.0686,0.168
0.223648,0.1531,0.0023,0.0616,0.165
0.236836,0.1713,0.0069,0.0593,0.181
0.254295,0.1141,-0.0406,0.0760,0.143
0.268273,0.1340,-0.0743,0.0881,0.177
0.281479,0.1018,-0.0751,0.0566,0.139
0.295348,0.1276,-0.0891,0.1022,0.186
0.310792,0.2952,-0.1924,0.2811,0.451
0.324267,0.0942,-0.0422,0.1145,0.154
0.340526,0.0743,0.0619,0.1403,0.170
0.354817,0.0160,-0.0008,0.1185,0.120
0.368665,-0.4982,-0.0535,-0.2054,0.542
0.383952,-0.0924,0.0297,-0.0252,0.100
0.397589,0.0952,0.0059,0.0098,0.096
0.411919,0.1109,-0.0602,0.1092,0.167
0.432243,0.1128,-0.0125,0.1115,0.159
0.441267,0.1723,-0.0414,0.0813,0.195
0.457348,0.1702,-0.0081,0.1025,0.199
0.470747,0.2015,-0.0323,0.1111,0.232
0.484148,0.1945,-0.0374,0.0860,0.216
0.499337,0.2022,-0.0142,0.0739,0.216
0.515629,0.2051,-0.0090,0.1338,0.245
0.531436,0.2875,-0.0751,0.2055,0.361
0.543733,-0.0020,-0.0490,0.0217,0.054
0.557551,0.0434,-0.0103,0.1677,0.174
0.573539,0.0394,-0.0529,0.2179,0.228
0.588240,0.0253,-0.0909,0.2934,0.308
0.601404,0.0585,-0.0618,0.3677,0.377
0.616523,0.0627,-0.0195,0.3219,0.329
0.632106,0.0235,0.0221,0.1959,0.199
0.643578,-0.0163,0.0539,0.0568,0.080
0.658245,-0.0173,0.0619,-0.0962,0.116
0.674278,0.0148,-0.0047,-0.0599,0.062
0.687445,0.0619,-0.1083,0.1324,0.182
0.703582,0.0811,-0.1309,0.2664,0.308
0.716936,0.0390,-0.1262,0.2958,0.324
0.732177,-0.0068,-0.0655,0.1795,0.191
0.745733,-0.0183,-0.0096,0.0215,0.030
0.760387,0.0141,0.0032,-0.1269,0.128
0.776190,0.0992,-0.0025,-0.2705,0.288
0.791333,0.2244,-0.0308,-0.2576,0.343
0.803561,0.3779,-0.0680,-0.1674,0.419
0.820166,1.1645,-0.1228,-0.0589,1.172
0.832564,0.1726,-0.2094,0.2682,0.381
0.846806,-0.2003,-0.2173,0.1410,0.327
0.862826,-0.2461,-0.2027,0.3718,0.490
0.876825,-0.1524,-0.1006,0.1187,0.218
0.891700,0.0614,0.0025,0.0884,0.108
0.907316,0.1881,0.1153,-0.0153,0.221
0.920038,0.3102,0.1756,-0.0772,0.365
0.938499,0.3790,0.1793,-0.1077,0.433
0.950405,0.3477,0.1210,-0.1187,0.387
0.962813,0.2311,0.0917,-0.0762,0.260
0.977889,0.1722,0.0769,-0.0419,0.193
0.991975,0.6509,0.0228,0.2428,0.695
1.006893,-0.0324,0.1547,-0.2804,0.322
1.023819,0.0416,0.1455,-0.2374,0.282
1.037354,0.1746,0.1365,-0.1885,0.291
1.053115,0.2825,0.0995,-0.1417,0.331
1.065993,0.2337,0.0996,-0.1103,0.277
1.081389,0.1718,0.1087,-0.1233,0.238
1.095414,0.1149,0.0850,-0.1174,0.185
1.110161,0.0963,0.0331,-0.0574,0.117
1.123867,0.0888,-0.0093,-0.0295,0.094
1.140683,0.0458,-0.0708,0.0605,0.104
1.153838,0.0672,-0.1556,0.1628,0.235
1.167813,0.0371,-0.1173,0.2174,0.250
1.183088,0.0270,0.0168,0.2232,0.225
1.197125,-0.0415,0.0690,0.2381,0.251
1.210757,-0.1099,0.1021,0.1761,0.231
1.228190,-0.0972,0.0909,-0.0151,0.134
1.240891,-0.1043,0.0247,0.0418,0.115
1.256378,-0.1072,-0.0366,0.0354,0.119
1.271122,-0.0689,-0.0986,0.0146,0.121
1.283909,-0.0194,-0.0936,0.0210,0.098
1.298167,0.0764,-0.0790,-0.0403,0.117
1.313194,0.1729,-0.0787,-0.0975,0.214
1.330160,0.1537,0.0414,0.0048,0.159
1.343219,0.3074,0.0520,-0.0349,0.314
1.357454,0.2219,0.0376,-0.0768,0.238
1.373181,0.1511,0.0286,-0.0241,0.156
1.387889,0.0990,0.0012,0.0186,0.101
1.400520,0.0663,-0.0023,0.0760,0.101
1.415885,0.1291,-0.0682,0.0972,0.175
1.431617,0.1974,-0.0862,0.1518,0.263
1.442305,0.1426,-0.0337,0.1074,0.182
1.458288,0.0257,0.0469,0.0639,0.083
1.473560,0.1326,0.0100,0.1389,0.192
1.487342,0.1964,0.0293,0.1227,0.233
1.500780,0.1698,-0.1136,0.1472,0.252
1.516523,0.0766,-0.1572,0.0370,0.179
1.532411,0.0159,-0.1427,0.0928,0.171
1.546418,0.0458,-0.0846,0.1927,0.215
1.559524,0.1326,-0.0136,0.1620,0.210
1.575383,0.1909,0.0095,0.0707,0.204
1.590531,0.1735,0.0236,0.0262,0.177
1.603056,0.1275,-0.0011,-0.0327,0.132
1.619222,0.0951,0.0455,-0.0983,0.144
1.634695,0.0667,0.0694,-0.1318,0.163
1.647313,0.0236,0.0456,-0.1342,0.144
1.663374,0.0336,-0.0116,-0.1087,0.114
1.676266,0.0416,-0.0107,-0.0368,0.057
1.691318,0.0886,-0.0618,0.0067,0.108
1.707579,0.1021,-0.0615,0.0069,0.119
1.719485,0.0724,-0.0428,-0.0059,0.084
1.736409,0.0435,-0.0186,-0.0331,0.058
1.750753,0.0807,-0.0184,-0.0413,0.093
1.761758,0.0945,-0.0661,-0.0295,0.119
1.779176,0.0552,-0.0708,-0.0935,0.130
1.794255,0.0539,-0.0427,-0.1425,0.158
1.807298,0.0664,-0.0236,-0.1046,0.126
1.823172,0.0790,-0.0235,-0.1059,0.134
1.836080,0.0821,-0.0324,-0.0691,0.112
1.851086,0.0941,-0.0418,-0.0814,0.131
1.864463,0.0958,-0.0370,-0.0983,0.142
1.880605,0.1163,-0.0272,-0.0826,0.145
1.897936,0.1609,-0.0550,-0.0592,0.180
1.909423,0.1490,-0.0688,-0.0540,0.173
1.922987,0.1236,-0.0446,-0.1234,0.180
1.939771,0.0646,0.0133,-0.1569,0.170
1.953955,0.0731,0.0611,-0.2787,0.295
1.965629,0.0857,0.0860,-0.3948,0.413
1.982235,0.0650,0.0639,-0.3982,0.408
1.996546,0.1061,0.0102,-0.2491,0.271
2.009351,0.1843,-0.0675,-0.1555,0.250
2.025890,0.2571,-0.0616,-0.2485,0.363
2.039450,0.2150,-0.0159,-0.1757,0.278
2.055760,0.2105,-0.0351,0.1289,0.249
2.068867,0.0935,-0.0322,0.2433,0.263
2.081812,0.0245,-0.0487,0.2750,0.280
2.097513,0.0324,-0.0853,0.2865,0.301
2.112380,0.0879,-0.1113,0.3728,0.399
2.125278,0.0958,-0.1152,0.3586,0.389
2.148575,0.1187,-0.1059,0.2783,0.321
2.157268,0.1170,-0.0635,0.2548,0.288
2.171833,0.1247,-0.0593,0.2167,0.257
2.186675,0.1084,-0.0463,0.1811,0.216
2.197745,0.1063,-0.0473,0.1895,0.222
2.212995,0.0748,-0.0470,0.3183,0.330
2.236936,0.0675,-0.0489,0.2824,0.294
2.242484,0.0988,-0.0467,0.1473,0.183
2.258280,0.1392,-0.0523,0.2188,0.265
2.273786,0.1034,-0.0624,0.3560,0.376
2.285856,0.0870,-0.0751,0.3294,0.349
2.300880,0.0758,-0.0560,0.1270,0.158
2.314041,0.0736,-0.0415,-0.0611,0.104
2.335103,0.0869,-0.0256,-0.1572,0.181
2.346205,0.1095,-0.0070,-0.1285,0.169
2.359099,0.0844,-0.0029,-0.0489,0.098
2.376401,0.0892,-0.0172,0.0147,0.092
2.390042,0.0889,-0.0080,0.0443,0.100
2.402422,0.0645,0.0107,0.0592,0.088
2.419757,0.0355,0.0246,0.0455,0.063
2.433208,0.0777,-0.0328,0.0859,0.120
2.445604,0.1385,-0.0189,0.1256,0.188
2.461747,0.1040,-0.0384,0.1302,0.171
2.475191,0.0936,-0.0490,0.0538,0.119
2.491249,0.0975,-0.0399,0.0206,0.107
2.505639,0.0967,-0.0361,-0.0124,0.104
2.517447,0.0913,-0.0173,0.0063,0.093
2.536257,0.0859,-0.0218,0.0480,0.101
2.548960,0.0469,-0.0173,0.0707,0.087
2.562299,0.0367,-0.0463,0.0268,0.065
2.576445,0.0220,-0.0519,0.0250,0.062
2.591671,0.0553,-0.0467,0.0466,0.086
2.605726,0.0506,-0.0516,0.0390,0.082
2.622083,0.0604,-0.0476,0.0122,0.078
2.636572,0.0605,-0.0094,0.0333,0.070
2.650502,0.0320,-0.0095,0.0399,0.052
2.664894,0.0277,-0.0192,0.0609,0.070
2.677700,0.0375,-0.0380,0.0585,0.079
2.693284,0.0426,-0.0292,0.0327,0.061
2.711930,0.0335,-0.0342,-0.0025,0.048
2.721443,0.0531,-0.0057,0.0298,0.061
2.739085,0.0677,-0.0155,0.0333,0.077
2.750774,0.0678,-0.0157,0.0457,0.083
2.765720,0.0441,-0.0302,0.0384,0.066
2.780921,0.0394,-0.0352,0.0310,0.061
2.795883,0.0539,-0.0162,0.0330,0.065
2.808157,0.0633,-0.0115,0.0255,0.069
2.833815,0.0536,-0.0117,0.0370,0.066
2.840300,0.0294,-0.0166,0.0338,0.048
2.853941,0.0242,0.0067,0.0156,0.030
2.869902,0.0476,0.0119,0.0410,0.064
2.882196,0.0758,0.0166,0.0565,0.096
2.898742,0.0707,0.0070,0.0437,0.083
2.912044,0.0467,-0.0171,0.0177,0.053
2.924611,0.0276,-0.0323,0.0057,0.043
2.950140,0.0420,-0.0461,0.0360,0.072
2.955057,0.0708,-0.0318,0.0612,0.099
2.970387,0.0661,-0.0080,0.0435,0.080
2.985140,0.0564,-0.0273,0.0263,0.068
2.999302,0.0665,-0.0514,0.0138,0.085
3.014551,0.0182,-0.0323,0.0538,0.065
3.028895,0.0278,0.0107,0.0689,0.075
3.049636,0.0612,0.0058,0.0897,0.109
3.060437,0.0854,-0.0183,0.0306,0.093
3.071482,0.0566,-0.0191,0.0041,0.060
3.084458,-0.0058,-0.0191,-0.0051,0.021
3.100608,-0.0341,0.0097,0.0612,0.071
3.114500,0.0092,0.0061,0.1658,0.166
3.129573,0.0426,-0.0090,0.0866,0.097
3.156091,0.0622,-0.0522,0.0174,0.083
3.161617,0.0623,-0.0475,0.0428,0.089
3.174004,0.0382,-0.0571,0.0960,0.118
3.189032,0.0098,-0.0141,0.0918,0.093
3.201549,0.0150,0.0044,0.0590,0.061
3.217359,0.0250,0.0043,0.0368,0.045
3.231967,0.0443,-0.0054,0.0392,0.059
3.243513,0.0586,-0.0288,0.0597,0.089
3.259432,0.0494,-0.0194,0.0758,0.093
3.275669,0.0545,-0.0242,0.0822,0.102
3.289078,0.0407,-0.0339,0.0884,0.103
3.304038,0.0034,-0.0106,0.0558,0.057
3.316870,-0.0007,-0.0011,0.0330,0.033
3.333542,0.0711,-0.0053,0.0623,0.095
3.347557,0.0949,-0.0196,0.0667,0.118
3.361647,0.0765,-0.0340,0.0570,0.101
3.377134,0.0621,-0.0387,0.0514,0.089
3.391299,0.0473,-0.0147,0.0593,0.077
3.404839,0.0618,0.0190,0.0707,0.096
3.421443,0.0671,0.0234,0.0534,0.089
3.436961,0.0679,-0.0045,0.0451,0.082
3.448719,0.0449,-0.0376,0.0877,0.105
3.464790,0.0314,-0.0942,0.1173,0.154
3.476460,0.0464,-0.0892,0.1487,0.179
3.493627,0.0422,-0.0366,0.1248,0.137
3.509956,0.0666,0.0058,0.0643,0.093
3.522590,0.0870,-0.0094,0.0154,0.089
3.537365,0.1166,-0.0473,0.0280,0.129
3.550478,0.0698,-0.0523,0.0313,0.093
3.565182,0.0472,-0.0291,-0.0085,0.056
3.580293,0.0386,-0.0203,-0.0729,0.085
3.595094,0.0586,0.0178,-0.0557,0.083
3.609265,0.0870,0.0231,0.0037,0.090
3.624521,0.0969,0.0326,0.0293,0.106
3.639101,0.0877,0.0325,0.0265,0.097
3.652837,0.0548,-0.0059,0.0420,0.069
3.667869,0.0261,-0.0203,0.0565,0.066
3.680646,0.0406,-0.0107,0.0706,0.082
3.696776,0.0930,0.0085,0.0561,0.109
3.711139,0.1410,-0.0059,0.0330,0.145
3.724277,0.1547,-0.0155,0.0047,0.156
3.741098,0.1164,-0.0347,-0.0193,0.123
3.755673,0.0974,-0.0299,-0.0341,0.107
3.768020,0.1213,-0.0538,-0.0589,0.145
3.783605,0.1118,-0.0393,-0.0032,0.119
3.797627,0.1021,-0.0440,0.0239,0.114
3.813063,0.1355,-0.0576,0.0709,0.163
3.828182,0.1974,-0.0713,0.0888,0.228
3.840891,0.1687,-0.0815,0.0358,0.191
3.856580,0.1023,-0.0630,-0.0408,0.127
3.870764,0.0452,-0.0486,-0.0356,0.075
3.884137,0.0303,-0.0528,0.0891,0.108
3.899472,0.0879,-0.0578,0.0489,0.116
3.912581,0.1638,-0.0773,-0.0033,0.181
3.927166,0.2206,-0.0727,0.0198,0.233
3.949130,0.1963,-0.0682,0.0664,0.218
3.960509,0.1152,-0.0589,0.0843,0.154
3.972989,0.0813,-0.0304,0.0797,0.118
3.987365,0.0625,0.0069,0.0846,0.105
4.000383,0.0625,-0.0030,0.0623,0.088
4.016415,0.1153,-0.0226,0.0362,0.123
4.031136,0.1286,-0.0183,0.0338,0.134
4.049011,0.1083,-0.0091,0.0209,0.111
4.059506,0.0878,-0.0526,0.0854,0.133
4.074369,0.0810,0.0044,0.0677,0.106
4.089514,0.0608,0.0315,-0.0121,0.070
4.104785,0.0588,0.0413,0.0079,0.072
4.116618,0.0758,0.0261,-0.0061,0.080
4.132666,0.0640,0.0025,0.0069,0.064
4.149746,0.0618,-0.0121,0.0530,0.082
4.161976,0.0256,0.0212,0.0565,0.066
4.176095,0.0336,0.0209,0.0512,0.065
4.192908,0.0554,0.0063,0.0312,0.064
4.204189,0.0389,-0.0226,0.0385,0.059
4.221116,0.0273,-0.0131,0.0167,0.035
4.235574,0.0256,0.0101,-0.0101,0.029
4.251642,0.0477,0.0148,0.0053,0.050
4.263283,0.0603,0.0057,0.0533,0.081
4.278426,0.0443,0.0057,0.0439,0.063
4.292779,0.0332,0.0105,0.0295,0.046
4.307057,0.0650,0.0057,0.0432,0.078
4.319420,0.0727,0.0201,0.0182,0.078
4.335872,0.0376,0.0195,-0.0218,0.048
