time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002163,0.2486,0.0256,-0.0082,0.250
0.010181,0.2522,0.0404,0.0227,0.256
0.034298,0.4154,-0.0010,0.2122,0.466
0.038749,1.9103,-0.3281,1.2520,2.307
0.053960,0.9691,0.1909,0.3576,1.050
0.068680,-0.5931,-0.0848,-0.6376,0.875
0.082861,0.3988,-0.3578,0.1388,0.553
0.096598,-0.5442,-0.0521,-0.1533,0.568
0.112841,-0.2303,-0.0624,0.1860,0.303
0.126244,0.1581,-0.0459,0.3255,0.365
0.141784,0.2872,-0.0883,0.2672,0.402
0.155505,0.2869,-0.1260,0.3446,0.466
0.170087,0.1672,-0.1118,0.4322,0.477
0.184638,0.1484,-0.1266,0.4590,0.499
0.198814,0.1296,-0.1278,0.3597,0.403
0.213590,0.1063,-0.0353,0.1237,0.167
0.227218,0.0917,0.0573,-0.1697,0.201
0.243285,0.0484,0.1077,-0.3043,0.326
0.269835,0.1011,0.0608,-0.2284,0.257
0.270917,0.1790,-0.0475,-0.0594,0.194
0.285990,0.2236,-0.1086,0.0711,0.259
0.300297,0.2410,-0.0888,0.1584,0.302
0.315176,0.1970,-0.0596,0.2366,0.314
0.333690,0.1526,-0.0405,0.2917,0.332
0.344799,0.1519,0.0163,0.2225,0.270
0.368285,0.1506,0.0293,0.1297,0.201
0.373192,0.1493,0.0190,-0.0003,0.150
0.388145,0.1858,-0.0385,-0.0449,0.195
0.403158,0.2309,-0.0667,0.0283,0.242
0.417699,0.2702,-0.0613,0.0961,0.293
0.430660,0.3198,-0.0613,0.1100,0.344
0.446303,0.3217,-0.0373,0.0761,0.333
0.468770,0.3000,-0.0468,0.0808,0.314
0.475953,0.2928,-0.0516,0.0953,0.312
0.489486,0.2523,-0.0707,0.1247,0.290
0.504265,0.2639,-0.0564,0.1314,0.300
0.518573,0.3182,-0.0230,0.0671,0.326
0.533462,0.3247,-0.0005,-0.0147,0.325
0.547411,0.2683,0.0035,-0.0682,0.277
0.563337,0.2882,-0.0631,-0.0158,0.295
0.577369,0.3408,-0.1052,0.0938,0.369
0.591216,0.3874,-0.0905,0.1802,0.437
0.606002,0.3529,-0.0381,0.1710,0.394
0.620540,0.2988,0.0130,0.0766,0.309
