time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002277,0.1333,0.1662,-0.2346,0.317
0.013650,0.0170,0.0553,-0.2707,0.277
0.031263,0.2304,-0.2852,-0.6629,0.758
0.043015,0.7552,-0.2424,1.0439,1.311
0.064456,-0.3125,-0.1224,-0.2464,0.416
0.072295,0.0125,0.0020,-0.2049,0.205
0.086963,-0.1427,0.0251,-0.2412,0.281
0.101081,-0.1274,0.0119,-0.1207,0.176
0.115322,-0.0791,-0.0306,-0.0631,0.106
0.129750,0.0032,-0.0258,-0.0631,0.068
0.147706,0.0604,-0.0115,-0.1205,0.135
0.158941,0.1316,-0.0018,-0.1400,0.192
0.174098,0.0784,-0.0209,-0.0978,0.127
0.188611,-0.0080,-0.0351,-0.0661,0.075
0.202831,-0.0567,-0.0200,-0.0060,0.060
0.217749,-0.0669,-0.0151,0.0210,0.072
0.232730,-0.0921,-0.0485,0.0154,0.105
0.247476,-0.1078,-0.0581,0.0250,0.125
0.261110,-0.1380,-0.0198,0.0309,0.143
0.275395,-0.1012,0.0035,-0.0019,0.101
0.290717,-0.0879,-0.0205,-0.0575,0.107
0.304221,-0.0648,-0.0014,-0.0715,0.097
0.319675,-0.0941,0.0178,-0.0486,0.107
0.334476,-0.0276,0.0514,-0.0010,0.058
0.348206,0.0682,0.0328,-0.0245,0.080
0.362812,0.0558,0.0125,-0.1399,0.151
0.377151,-0.0477,-0.0592,-0.1659,0.182
0.392044,-0.1094,-0.0728,-0.0391,0.137
0.407052,-0.0711,-0.1201,-0.0438,0.146
0.421082,-0.0156,-0.0962,-0.0761,0.124
0.436182,-0.0618,-0.1058,-0.0504,0.133
0.449411,-0.1669,-0.0832,-0.1105,0.217
0.464031,-0.1872,-0.0928,-0.0979,0.231
0.478599,-0.1428,-0.0308,-0.0742,0.164
0.494290,-0.0549,-0.0250,-0.0011,0.060
0.507938,-0.0526,-0.0206,0.0161,0.059
0.522810,-0.0250,-0.0163,0.0251,0.039
0.537336,0.0622,0.0173,0.0964,0.116
0.551801,0.1865,0.0933,0.1142,0.238
0.566506,0.0763,0.0729,0.0826,0.134
0.580042,-0.1209,0.0383,0.0622,0.141
0.594699,-0.8102,-0.0225,-0.1156,0.819
0.611203,-0.2377,0.0313,0.5024,0.557
0.624684,-0.4095,0.0838,0.5812,0.716
0.638578,-0.6942,-0.1422,0.4875,0.860
0.653556,-0.5752,-0.0757,0.5018,0.767
0.668534,-0.8191,-0.0574,-0.0455,0.822
0.682159,-0.7166,-0.1508,0.3038,0.793
0.696953,-0.5532,-0.1305,0.4947,0.754
0.711632,-0.3447,-0.1545,0.5427,0.661
0.726316,-0.0341,-0.0910,0.6329,0.640
0.740694,0.1031,-0.0819,0.6522,0.665
0.755558,-0.0509,-0.1215,0.5756,0.591
0.770066,-0.4900,-0.2102,0.5241,0.748
0.784303,-0.8617,-0.3600,0.4789,1.050
0.798131,-0.9913,-0.3650,0.6595,1.245
0.812916,-0.9838,-0.2020,0.9102,1.355
0.829540,-1.0132,-0.0615,0.7994,1.292
0.842617,-1.0756,0.0686,0.5692,1.219
0.857050,-1.0561,0.1466,0.3982,1.138
0.871696,-0.9739,0.2117,0.3163,1.046
0.885950,-0.7761,0.3638,0.3836,0.939
0.901156,-0.7090,0.4681,0.4791,0.975
0.915254,-0.7333,0.4562,0.2775,0.907
0.929026,-0.5577,0.4362,0.2367,0.746
0.943696,-0.2332,0.4073,0.2247,0.520
0.962158,0.4480,0.0722,-0.1538,0.479
0.973450,1.1693,-0.5188,-0.3589,1.329
0.987859,1.6336,-1.0907,-0.4468,2.014
1.002799,1.7593,-1.3676,-0.4611,2.276
1.017141,1.4048,-1.1508,0.0714,1.817
1.030501,0.1699,-0.3648,1.1575,1.225
1.046045,-1.0159,0.4378,1.9330,2.227
1.061278,-1.7310,1.0032,2.0919,2.895
1.075335,-1.4743,0.9547,2.0296,2.684
1.089324,-0.5252,0.6269,1.9388,2.104
1.104083,-0.0037,0.3289,1.4663,1.503
1.118693,0.5120,-0.0194,1.1500,1.259
1.133744,1.0634,-0.4274,0.4921,1.247
1.147455,1.4078,-0.8271,0.2312,1.649
1.161955,2.1754,-1.2470,0.2822,2.523
1.176280,0.7675,-1.0095,0.5890,1.398
1.191625,0.3129,-0.8611,1.2809,1.575
1.206051,0.6331,-0.5847,1.4585,1.694
1.220607,0.7082,-0.4558,1.1144,1.397
1.234565,0.4493,-0.4281,0.7789,0.996
1.249057,0.1131,-0.3033,0.8085,0.871
1.263187,-0.4161,-0.3173,0.8202,0.973
1.279173,-0.4773,-0.4348,0.9691,1.165
1.292679,-0.0680,-0.4555,1.1968,1.282
1.307558,0.6512,-0.3704,1.3782,1.569
1.322113,1.0516,-0.2544,1.3840,1.757
1.336991,1.1374,-0.0999,1.5472,1.923
1.350168,0.8244,-0.0328,1.7950,1.976
1.366214,0.3651,-0.0673,1.9542,1.989
1.379346,0.1188,-0.0623,2.2827,2.287
1.395420,0.0001,-0.0385,2.5918,2.592
1.409628,0.0752,-0.0672,2.7223,2.724
1.423670,0.3016,-0.0828,2.5850,2.604
1.438322,1.7453,-0.2588,2.8767,3.375
1.453263,0.4235,0.3988,1.6044,1.707
1.467441,0.6040,0.6229,1.7420,1.946
1.481245,1.4533,0.5127,1.3988,2.081
1.495629,1.7385,0.8186,0.8898,2.118
1.510575,1.9040,2.8397,0.8071,3.513
1.525349,4.1724,5.3977,2.0791,7.132
1.539747,6.2109,6.2594,1.2515,8.906
1.554513,4.2011,4.5899,-3.5468,7.162
1.568936,1.3347,3.4936,-3.0584,4.831
1.583814,-0.3579,2.5264,-0.8934,2.704
1.597471,-0.9391,1.2316,-0.9239,1.803
1.611897,-1.3097,-0.1979,-0.6170,1.461
1.627040,-0.6232,-1.3064,-1.0852,1.809
1.642405,-0.3810,-2.0007,-1.4566,2.504
1.656517,-0.8225,-2.4626,-1.5907,3.045
1.670933,-1.5161,-2.7188,-1.5664,3.485
1.685945,-1.8047,-2.5770,-1.3337,3.417
1.700389,-1.1941,-1.6170,-0.5082,2.073
1.713988,0.3499,-0.7032,0.6578,1.024
1.728502,1.2241,-0.6188,0.8330,1.605
1.743867,1.3639,-1.1935,-0.0806,1.814
1.764944,0.7129,-1.4300,-0.7493,1.765
1.772129,0.6570,-1.7956,-1.0183,2.166
1.786283,-0.1785,-1.7238,-0.5616,1.822
1.802309,-0.8046,-1.6309,0.0887,1.821
1.816267,-1.0703,-1.6342,0.4832,2.012
1.829787,-1.3606,-1.4009,0.5659,2.033
1.844983,-1.8952,-0.9512,0.3855,2.155
1.864430,-2.0950,-0.6565,0.2936,2.215
1.874508,-1.9671,-0.5257,0.5215,2.102
1.888255,-1.7138,-0.6140,0.6930,1.948
1.903412,-1.4606,-0.7892,0.7559,1.824
1.918274,-0.4432,-0.9029,0.4851,1.117
1.932666,-0.5346,-0.6540,1.2609,1.518
1.946273,-0.7032,-0.6264,1.2301,1.549
1.966580,-0.8272,-0.4552,1.2219,1.544
1.975433,-0.6534,-0.3319,1.0264,1.261
1.990499,-0.3313,-0.1601,0.8787,0.953
2.005042,-0.1389,0.1781,0.7837,0.816
2.019622,-0.1904,0.7631,0.4801,0.921
2.034560,-0.0173,1.2362,0.5395,1.349
2.048638,-0.1092,1.5794,1.0892,1.922
2.065997,-0.0987,1.8139,1.0891,2.118
2.078251,-0.6742,2.0118,1.6181,2.668
2.091843,-1.1083,1.8978,2.3877,3.245
2.107214,-1.1505,1.8941,3.0261,3.751
2.122921,-0.4666,2.8850,3.0597,4.231
2.136058,-0.7590,4.1864,5.5451,6.989
2.150536,-1.4993,4.1626,1.6187,4.711
2.164406,-3.1027,3.7119,-2.2085,5.318
2.178976,-3.2314,2.2282,-5.2354,6.543
2.193295,-2.6406,1.1776,-3.7705,4.751
2.207938,-0.8324,-0.1724,-2.6830,2.814
2.222605,0.7571,-1.5348,-2.5025,3.032
2.236611,1.4813,-2.1852,-3.1208,4.088
2.252766,1.7619,-2.0372,-3.1711,4.161
2.266016,1.6793,-1.4922,-1.7801,2.866
2.281635,1.2651,-0.9150,-0.9330,1.819
2.296833,0.2077,-0.4659,-0.4585,0.686
2.311234,-0.6762,-0.1898,-0.2110,0.733
2.325314,-1.5482,-0.2016,-0.1876,1.573
2.339283,-2.4281,-0.2548,-0.5902,2.512
2.354561,-2.7319,-0.5062,-0.9347,2.931
2.368111,-2.0976,-0.8385,-0.9766,2.461
2.383002,-0.7033,-1.4504,-0.4697,1.679
2.398655,0.4826,-1.6223,-0.3084,1.720
2.412376,1.4211,-1.8956,-0.2430,2.382
2.425290,1.7062,-2.2608,-0.1600,2.837
2.442356,1.4263,-2.1416,-0.1868,2.580
2.455646,1.5227,-1.9869,-0.0364,2.503
2.469244,1.6941,-1.6818,0.3139,2.408
2.487692,1.5721,-1.5751,0.5278,2.287
2.498238,1.3079,-1.5485,0.3219,2.052
2.512563,1.2440,-1.6210,0.2191,2.055
2.527964,1.0654,-1.6580,0.5406,2.044
2.541815,0.9326,-1.5077,1.0724,2.072
2.556827,0.9853,-1.3335,1.4252,2.186
2.571600,0.9643,-1.0194,1.4582,2.024
2.585748,0.7661,-0.5700,1.2012,1.535
2.600570,0.5665,-0.2062,0.8859,1.072
2.614521,0.9947,-0.1667,0.3655,1.073
2.630525,1.8214,0.0137,-0.6378,1.930
2.644442,2.0569,1.1549,-0.4992,2.411
2.664507,2.3149,2.3720,0.7461,3.397
2.673598,2.8528,2.6965,1.7287,4.289
2.688096,2.2981,2.3587,2.5790,4.183
2.702777,0.5654,2.1736,3.1610,3.878
2.717019,-1.8395,4.3573,2.5653,5.381
2.731611,-2.0383,6.1083,2.9022,7.063
2.747202,-0.8969,5.7934,0.2393,5.867
2.763114,2.7306,2.9496,-4.8907,6.330
2.774485,2.2796,1.6698,-4.8739,5.634
2.789613,0.7802,0.8890,-3.5054,3.700
2.804282,-0.3288,-0.1921,-4.1693,4.187
2.819366,-1.8465,-1.1271,-3.0700,3.756
2.833483,-2.7875,-1.5305,-1.0326,3.343
2.848085,-1.2366,-0.9745,-0.1365,1.580
2.865776,0.5396,-0.0725,0.0723,0.549
2.876921,2.7704,0.5505,-0.1681,2.830
2.890686,3.9757,0.2071,0.3277,3.995
2.905969,3.4594,-0.5364,-1.2889,3.730
2.920411,1.7002,-1.1899,-2.3162,3.110
2.935131,-1.4903,-1.4301,-2.5395,3.273
2.949748,-0.9603,-3.0771,-1.5212,3.564
2.965572,-2.0371,-3.5646,0.0981,4.107
2.980479,-2.4564,-3.4913,1.1434,4.419
2.993634,-2.1824,-3.2874,1.5669,4.246
3.007277,-1.4056,-2.6022,1.2633,3.216
3.021508,-1.2251,-2.0914,0.9627,2.608
3.036688,-1.7186,-1.6795,0.4853,2.451
3.051388,-1.6065,-1.6257,0.2872,2.304
3.064987,-1.6172,-1.6115,0.4565,2.328
3.081358,-1.6653,-1.6512,0.4558,2.389
3.096986,-1.6381,-1.3799,0.4519,2.189
3.110583,-1.3122,-0.8669,0.6640,1.707
3.123676,-0.7748,-0.1260,0.6541,1.022
